LGA_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
LGA34580,1978,478,168,2623,1115,473,101,28,1711,36,32,72,1782,407,160,2354,1234,476,98,33,1843,55,36,90,1931,476,168,2572,1301,497,136,45,1984,67,23,87,2066,550,175,2798,1120,509,126,29,1784,38,24,63,1848,815,174,2832,772,449,104,20,1345,30,21,49,1396,1055,147,2596,286,208,35,15,537,15,12,28,566,1565,129,2268,80,106,24,12,220,0,8,9,231,1668,142,2041,58,62,9,13,145,0,0,3,144,2437,317,2901,10576,5714,1302,382,17963,596,415,1016,18976,11975,2321,33276
LGA34590,19131,3922,1901,24956,10958,4263,835,278,16335,534,287,822,17157,3552,1449,22150,11001,3965,758,247,15973,540,253,786,16756,3631,1365,21758,10032,3799,790,270,14892,449,245,691,15586,3977,1283,20841,8157,3357,788,184,12492,428,226,655,13146,4723,971,18844,5370,2963,712,115,9159,319,214,537,9694,6636,848,17186,1848,1576,345,63,3827,82,88,172,4004,9963,716,14675,435,645,127,25,1225,5,23,33,1254,11366,719,13340,120,229,37,20,408,6,10,16,426,15925,1545,17888,91475,46670,10361,3203,151708,6633,4816,11446,163152,86397,18009,267553
LGA34710,206,26,28,261,118,37,4,0,161,0,0,0,161,12,29,205,110,26,6,0,146,3,0,3,150,14,23,187,154,35,3,5,199,4,3,5,206,16,30,254,170,31,7,0,208,0,4,4,208,24,43,281,118,54,10,0,181,0,0,0,181,45,39,268,67,32,10,0,109,0,0,0,108,83,19,211,26,12,0,0,46,0,0,0,43,113,15,175,10,9,0,0,17,0,0,0,17,210,30,255,1357,447,68,38,1914,22,13,36,1946,642,372,2966
LGA34770,6706,842,927,8481,4215,1542,186,76,6025,121,70,196,6217,729,781,7728,4481,1496,180,106,6263,103,47,153,6412,784,825,8026,4525,1467,295,104,6387,102,56,157,6548,969,851,8368,3890,1436,311,88,5718,138,80,217,5939,1583,842,8363,2715,1253,264,65,4291,83,70,154,4448,2569,653,7668,1042,716,123,40,1918,23,41,66,1985,3701,471,6156,239,291,32,27,598,6,8,16,610,3845,396,4850,99,153,23,31,303,0,5,8,303,6336,915,7556,38161,16906,2699,1191,58955,1388,1051,2443,61395,26214,9579,97190
LGA34800,40,3,18,67,33,4,3,0,42,0,0,0,42,3,17,58,29,4,0,0,30,0,0,0,30,0,11,43,21,0,0,0,29,0,0,0,29,0,9,39,36,4,3,0,41,0,0,0,41,4,17,68,28,4,0,4,45,0,0,0,47,4,8,53,11,4,0,0,11,0,0,0,11,6,0,29,12,4,0,0,21,0,0,0,21,5,10,35,8,0,0,0,8,0,0,0,8,25,3,36,369,54,11,19,461,4,0,4,463,73,156,689
LGA34830,13,9,4,21,4,0,0,0,5,4,0,3,11,5,6,24,4,0,0,0,8,0,0,0,7,0,4,17,6,0,0,0,7,0,0,0,6,5,6,20,8,0,0,0,8,0,0,0,8,6,6,15,6,8,0,0,13,0,0,0,13,6,10,24,4,3,0,0,4,0,0,0,4,11,0,23,3,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0,0,0,0,3,0,7,60,23,7,6,93,27,0,34,126,126,57,309
LGA34860,677,83,85,843,414,139,16,15,582,7,6,11,591,82,86,761,474,131,26,14,641,8,6,9,652,63,89,797,481,138,26,13,657,15,8,23,683,75,99,852,463,134,27,9,635,7,3,9,646,127,92,867,360,135,17,8,518,4,5,13,524,177,93,796,181,70,7,3,266,5,6,8,269,315,67,650,79,38,6,11,137,0,0,0,137,336,64,538,77,54,3,23,154,0,0,0,154,585,144,882,4448,1577,270,169,6463,101,58,164,6625,2304,1178,10105
LGA34880,853,353,151,1349,570,232,27,19,842,34,19,53,900,291,147,1330,636,285,44,31,996,36,23,57,1055,285,172,1517,727,300,66,20,1113,28,16,44,1161,314,150,1626,622,341,58,27,1046,24,23,49,1097,373,185,1652,468,288,56,28,841,30,28,69,906,559,147,1609,202,200,36,5,444,17,14,28,469,867,140,1481,69,79,7,5,164,3,3,4,168,916,94,1174,63,54,4,7,123,0,0,0,126,1694,241,2063,5375,2994,465,249,9088,324,249,574,9666,7363,1992,19025
LGA35010,25643,4539,1526,31708,16163,6463,1350,339,24317,597,343,945,25254,4270,1425,30946,17181,6385,1411,317,25296,632,294,928,26229,4505,1431,32170,16098,6205,1581,276,24161,626,286,910,25072,5132,1235,31448,12608,5707,1471,205,19999,508,286,796,20797,6744,1112,28659,7653,4826,1238,143,13864,415,339,756,14616,11304,950,26873,2597,2566,627,73,5856,91,113,210,6067,18060,995,25119,641,1084,197,41,1961,16,42,58,2019,20907,1033,23956,196,471,78,58,801,9,19,25,828,31630,2764,35228,128323,69936,17511,3560,219332,7235,5834,13073,232404,131333,18149,381884
LGA35250,28,40,4,73,19,16,0,0,28,0,0,0,27,35,12,83,17,0,0,0,19,0,0,3,26,35,7,61,10,6,0,0,19,0,0,0,19,34,9,67,8,5,5,0,17,0,0,0,17,20,0,43,20,5,0,0,20,0,0,6,21,22,4,53,4,0,0,0,9,0,0,0,9,10,3,19,0,0,0,0,0,0,0,0,0,13,4,20,3,0,0,0,3,0,0,0,3,24,5,27,137,65,12,7,213,10,10,17,230,466,86,778
LGA35300,1131,186,165,1478,697,178,34,15,922,24,7,30,948,111,122,1185,702,115,32,22,876,29,11,35,914,139,129,1178,651,103,40,22,813,26,3,29,841,141,119,1102,615,125,45,10,803,22,8,32,832,165,129,1127,378,93,30,3,506,9,5,16,516,229,78,829,146,59,15,0,223,3,8,7,227,245,52,526,36,34,8,0,79,3,4,6,80,285,44,411,16,21,0,4,45,0,0,0,44,453,88,588,6892,1797,453,237,9378,266,144,417,9790,2977,1572,14341
LGA35600,161,27,26,212,105,30,9,7,144,8,0,7,156,20,18,190,141,35,8,3,188,3,0,5,197,23,34,254,116,41,10,4,168,0,0,0,174,34,29,239,166,49,16,11,241,3,4,6,251,59,42,353,119,44,16,0,183,0,6,0,189,96,48,329,56,36,6,3,103,0,0,0,101,135,33,268,18,10,3,4,35,0,0,0,36,125,19,176,0,9,0,9,18,0,0,0,18,256,44,320,1244,448,109,63,1869,30,27,55,1931,929,420,3275
LGA35670,19,24,18,59,16,4,0,0,21,5,0,3,29,17,14,52,13,9,0,0,14,0,0,0,15,18,13,48,6,7,0,0,17,0,0,0,20,21,19,59,4,4,0,0,10,0,0,0,10,22,19,46,9,0,0,0,4,0,0,0,7,26,12,37,3,0,0,0,6,0,0,0,6,12,9,24,0,0,0,0,0,0,0,0,0,8,3,15,0,0,0,0,4,0,0,0,4,10,0,9,79,38,9,14,137,17,9,26,164,280,186,631
LGA35740,2205,350,204,2760,1400,923,172,59,2550,37,29,63,2614,409,196,3222,1763,1082,248,76,3163,63,49,116,3276,502,228,4011,1701,1106,243,53,3108,56,38,94,3199,703,251,4153,1460,1186,256,38,2940,76,50,125,3067,1135,225,4430,948,1036,227,19,2235,59,82,135,2368,2058,227,4657,393,644,125,6,1173,17,27,44,1218,3107,168,4482,151,334,57,11,555,0,13,13,565,3711,218,4495,59,169,28,11,262,6,3,12,276,5736,629,6641,11338,10030,2415,475,24250,588,550,1137,25391,19614,2948,47949
LGA35760,365,73,56,497,242,82,9,14,344,13,6,18,369,63,58,483,265,104,20,10,399,14,8,17,420,99,65,573,331,122,26,11,496,21,5,24,517,133,82,730,321,131,27,9,485,14,4,17,508,183,66,753,271,127,15,10,427,20,6,25,454,252,65,778,158,93,14,6,274,11,0,11,286,423,82,787,76,49,5,18,146,0,0,0,146,508,72,727,60,58,9,23,146,0,0,0,146,897,158,1203,2650,1268,180,147,4250,164,64,225,4475,3042,960,8475
LGA35780,90,40,16,149,67,21,4,4,87,4,3,4,96,29,16,146,58,14,6,3,79,3,3,8,88,26,9,131,54,15,3,0,76,0,0,4,80,27,24,129,51,8,0,9,59,3,4,4,66,38,15,130,32,13,4,3,50,3,5,7,57,31,19,104,15,5,0,0,27,0,0,0,27,31,9,71,3,0,0,0,6,0,0,0,6,31,6,33,0,0,0,0,0,0,0,0,0,18,4,26,537,211,48,42,837,79,56,136,974,618,216,1814
LGA35790,42,88,4,132,18,9,0,3,32,0,0,0,38,51,3,92,14,8,3,0,25,3,0,3,35,62,9,106,16,19,0,3,36,0,0,0,41,89,15,136,20,6,3,0,28,0,0,0,30,73,9,115,20,6,5,0,25,0,0,0,30,60,3,90,10,8,0,3,13,0,0,0,13,39,5,56,0,0,0,0,4,0,0,0,4,28,5,35,0,0,0,0,0,0,0,0,0,15,0,18,179,118,20,26,339,24,14,38,386,957,105,1444
LGA35800,50,24,5,73,39,13,0,0,48,0,0,8,55,26,5,86,42,10,0,0,62,3,0,6,69,23,11,94,48,21,0,6,71,10,0,10,79,32,8,115,46,21,4,0,72,0,0,0,69,42,4,117,49,19,3,0,72,5,0,3,76,67,10,149,27,13,3,0,41,0,0,0,48,54,10,106,19,5,0,0,23,0,0,0,23,64,10,95,11,0,0,0,16,0,0,0,16,115,12,145,440,164,24,18,648,33,11,49,701,523,97,1321
LGA36070,37,8,5,53,10,8,0,0,16,9,0,8,28,19,3,50,23,3,0,5,29,11,4,12,36,13,10,56,13,7,0,0,22,10,0,12,28,11,5,46,15,6,0,0,16,7,0,11,25,8,9,37,5,0,0,0,9,4,0,3,10,7,4,24,0,3,0,0,4,3,0,3,9,9,0,14,0,0,0,0,0,0,0,0,0,11,4,11,0,0,0,0,0,0,0,0,0,6,4,9,98,38,0,11,144,102,13,113,258,140,77,471
LGA36150,40,0,5,46,16,3,0,0,19,0,0,0,19,0,0,20,21,13,0,0,33,0,0,0,33,6,4,40,46,4,0,0,52,0,0,0,52,8,8,63,40,10,4,0,55,0,0,0,54,16,0,71,24,8,0,4,37,0,0,0,37,10,4,52,19,5,0,0,20,0,0,0,20,22,3,39,0,0,0,0,9,0,0,0,9,18,4,27,3,5,0,0,3,0,0,0,3,33,0,41,293,69,19,11,389,0,0,4,393,129,35,559
LGA36250,8379,1115,364,9850,5474,2113,421,88,8095,161,72,239,8329,1055,315,9694,6119,2240,490,123,8968,167,73,239,9212,1285,378,10877,5969,2230,533,95,8825,187,90,275,9093,1445,362,10902,5261,2219,556,83,8119,154,87,244,8367,2273,357,11001,3355,2084,576,60,6073,177,125,301,6377,4123,355,10849,1160,1125,267,25,2575,61,55,115,2689,6904,353,9946,274,571,88,12,951,0,17,18,973,7780,356,9105,89,234,31,17,375,6,13,13,394,12504,1350,14242,45180,24547,6035,1040,76809,1946,1626,3576,80382,45077,5384,130844
LGA36300,47,7,7,58,17,4,0,0,16,0,0,0,16,0,3,26,21,4,0,4,31,0,0,0,31,0,7,41,35,3,0,0,38,0,0,0,38,0,10,45,31,14,0,0,45,0,0,0,47,10,13,61,32,8,0,0,43,0,0,3,43,4,9,60,16,3,0,0,26,0,0,0,26,10,13,51,3,3,0,0,6,0,0,0,6,15,8,22,3,0,0,3,12,0,0,0,12,22,18,41,305,81,9,17,410,4,3,5,413,79,107,604
LGA36370,4335,693,501,5529,2500,952,144,55,3650,109,54,167,3818,602,445,4868,2507,882,149,56,3586,102,53,151,3742,687,429,4859,2424,865,167,58,3513,102,59,163,3676,785,398,4854,2209,864,207,51,3330,105,54,161,3491,1114,386,4985,1568,836,165,41,2609,80,56,139,2746,1832,293,4872,556,452,55,14,1077,23,16,34,1114,2663,287,4071,136,188,22,8,349,0,4,8,356,2847,233,3435,44,92,8,15,163,0,0,5,161,5244,718,6129,22930,11432,1866,753,36979,1319,911,2238,39211,20620,5499,65325
LGA36510,1774,441,190,2399,1191,537,120,45,1900,47,19,63,1959,438,169,2563,1403,607,151,48,2207,53,27,77,2290,481,185,2957,1423,667,149,70,2306,58,27,83,2392,565,207,3170,1297,633,184,42,2155,41,33,72,2227,774,195,3195,901,605,155,35,1693,34,36,73,1774,1301,161,3230,389,392,85,16,882,10,12,18,901,1926,165,2989,164,195,32,7,399,3,0,6,404,2154,171,2733,85,129,21,43,274,4,4,9,278,3215,506,4000,10486,6200,1567,510,18769,501,348,852,19620,13269,2535,35432
LGA36580,1161,266,113,1537,628,277,53,22,976,22,10,38,1014,248,104,1362,751,326,72,28,1183,24,12,38,1212,288,123,1626,784,297,83,30,1199,29,14,43,1242,411,140,1794,664,348,92,23,1122,34,11,46,1165,538,119,1826,457,316,94,14,880,27,24,52,932,900,110,1942,212,149,51,12,424,5,9,17,438,1231,95,1766,74,87,12,14,187,0,0,0,188,1339,97,1620,47,53,10,11,111,0,0,0,111,1661,224,1993,5967,3210,801,272,10248,337,237,577,10822,8172,1459,20459
LGA36630,1091,295,130,1518,699,332,45,25,1103,29,8,40,1142,324,153,1620,783,370,52,32,1230,32,19,60,1285,438,183,1903,893,373,43,29,1343,44,21,71,1413,539,186,2126,841,418,65,24,1353,49,22,70,1423,794,223,2441,552,404,66,19,1040,54,19,71,1114,1162,204,2474,288,234,35,16,570,8,11,18,589,1829,214,2631,117,134,16,12,272,0,4,5,280,1992,258,2527,91,99,7,17,211,0,0,4,216,2955,383,3553,7095,4196,577,317,12182,450,274,724,12908,11908,2560,27370
LGA36660,1331,232,117,1685,815,436,41,24,1310,34,15,42,1355,300,148,1809,928,496,56,28,1512,41,27,69,1579,380,172,2131,1067,473,60,32,1636,42,24,62,1705,455,192,2349,1011,573,76,29,1684,30,21,49,1737,649,196,2578,748,570,82,28,1429,44,30,74,1505,1136,198,2834,363,358,52,33,815,9,12,17,827,1790,208,2828,141,190,27,15,366,0,3,3,372,2073,205,2654,128,95,6,20,248,0,4,4,252,3400,424,4077,8370,5535,723,348,14978,399,329,725,15706,11928,2417,30056
LGA36720,17445,2689,1170,21302,10091,5509,1043,212,16856,303,247,554,17412,2470,1209,21078,11406,5790,1136,229,18565,356,222,580,19141,2703,1145,22999,10915,5441,1257,220,17833,367,248,618,18447,3338,1189,22975,8854,5625,1325,179,15981,339,255,596,16578,4941,1054,22573,5502,4880,1223,128,11731,311,308,614,12345,9261,1008,22613,2025,2790,533,70,5423,73,146,219,5636,14416,928,20986,563,1189,172,32,1950,13,52,67,2021,17087,995,20099,180,540,88,58,859,4,15,17,878,29587,2767,33229,83981,59388,14236,2684,160291,3608,3818,7424,167712,99655,15684,283049
LGA36820,966,194,126,1280,601,280,39,21,934,30,12,40,976,195,127,1296,722,347,39,22,1132,27,10,39,1169,228,169,1571,759,404,66,34,1259,33,23,59,1311,306,174,1797,720,432,70,34,1253,35,19,65,1313,488,174,1971,541,431,78,22,1071,44,25,74,1144,848,175,2161,268,289,41,15,616,6,10,21,640,1281,187,2111,99,138,17,16,266,0,5,6,273,1516,163,1957,65,83,14,16,176,0,0,0,178,2294,389,2865,5880,3834,565,327,10605,333,228,556,11161,8377,2257,21794
LGA36910,8636,1433,576,10644,5049,2257,205,103,7606,178,122,300,7907,1328,480,9709,5611,2068,207,86,7965,177,118,289,8256,1415,550,10227,5605,2077,318,98,8094,189,102,288,8382,1730,557,10670,4791,1972,324,69,7162,161,103,263,7425,2179,572,10179,3446,1948,332,65,5792,114,119,236,6022,3842,528,10388,1269,1200,172,43,2693,34,54,85,2777,6100,518,9400,424,574,56,31,1081,6,14,18,1098,7158,441,8698,243,375,38,63,722,7,6,14,737,13559,1348,15640,48398,26476,3419,1216,79508,2199,1970,4172,83683,47607,8008,139300
LGA36950,195,33,22,248,110,42,4,5,155,0,4,7,162,31,17,208,105,29,4,11,147,3,0,6,155,35,12,204,99,29,12,3,143,0,4,3,146,26,24,192,84,26,12,5,125,4,0,0,129,34,13,182,74,18,13,7,112,3,0,4,111,49,23,180,31,17,3,0,55,0,0,0,55,50,14,120,13,3,0,0,20,0,0,0,20,47,3,67,5,0,0,0,4,0,0,0,5,55,14,69,976,366,98,76,1520,42,27,63,1588,711,226,2523
LGA36960,133,111,14,258,68,42,9,8,129,6,0,9,139,107,15,266,57,38,9,4,109,12,5,16,123,65,13,200,66,34,0,4,107,11,3,10,115,86,18,219,59,24,3,0,86,7,0,7,91,79,19,191,33,25,0,0,63,4,0,5,71,88,18,169,22,8,0,5,31,0,0,0,35,78,7,124,7,0,0,0,8,0,0,0,8,66,7,81,0,0,0,0,0,0,0,0,0,74,3,80,544,368,55,50,1015,104,32,135,1152,1465,182,2801
LGA37010,10448,1718,1129,13296,6408,2271,309,145,9133,244,113,359,9493,1513,902,11904,6852,2207,316,132,9503,273,132,407,9913,1585,931,12425,6551,2165,411,87,9208,252,104,359,9564,1914,906,12385,5449,2182,424,81,8142,207,114,317,8458,2474,725,11656,3667,1987,375,52,6086,182,122,300,6395,3800,672,10858,1298,1185,168,39,2691,38,71,105,2795,5729,535,9054,337,459,52,14,861,3,14,14,881,6245,412,7534,99,222,12,15,354,0,9,9,360,9593,956,10911,59317,28759,4414,1496,93989,2812,2229,5044,99034,44636,12131,155798
LGA37300,282,32,39,350,161,42,19,4,221,0,0,0,221,16,41,279,207,34,16,5,254,0,0,0,257,13,36,306,163,26,24,12,220,0,3,5,226,12,24,268,141,30,13,0,186,0,0,4,186,17,33,234,63,14,5,4,88,0,0,0,88,23,17,126,18,13,3,0,30,0,0,0,30,15,9,53,7,8,0,0,14,0,0,0,15,18,5,34,0,0,0,0,0,0,0,0,0,26,11,36,1614,426,166,68,2271,25,26,48,2324,314,409,3047
LGA37310,1545,301,215,2055,924,378,55,28,1381,43,16,56,1441,250,216,1907,1103,365,52,17,1540,39,16,57,1597,281,222,2097,1130,369,55,18,1569,49,16,61,1632,385,197,2209,967,361,50,30,1411,39,17,56,1470,507,197,2179,693,335,64,18,1107,28,21,44,1155,688,162,2000,360,217,39,18,634,5,4,11,643,1006,161,1806,171,115,15,13,316,0,4,4,324,1076,124,1528,125,106,16,33,281,0,0,0,279,1873,294,2450,9743,4367,667,331,15105,452,285,733,15841,7967,2789,26596
LGA37340,1930,243,306,2482,1224,456,63,33,1777,34,18,50,1826,204,292,2324,1265,467,70,38,1836,50,21,74,1913,293,334,2534,1194,493,94,31,1806,55,24,79,1888,334,325,2543,1050,502,78,30,1653,53,29,79,1735,545,290,2578,775,463,77,25,1344,46,23,76,1422,865,314,2596,330,277,34,11,649,11,17,26,678,1292,213,2182,111,129,16,6,263,0,5,6,267,1339,182,1787,58,64,8,16,144,0,3,0,147,1886,254,2291,11194,5537,829,407,17965,499,322,816,18784,8202,3792,30777
LGA37400,57,5,18,71,31,14,0,0,49,0,0,0,49,5,9,62,46,8,0,3,61,0,0,0,60,4,14,81,50,11,0,0,54,0,0,0,58,7,6,76,44,10,4,0,56,0,0,0,58,15,7,82,48,8,0,5,64,0,0,0,64,13,19,91,31,9,0,3,38,0,0,0,38,31,22,87,6,7,0,0,15,0,0,0,15,31,7,55,5,0,0,0,9,0,0,0,9,77,20,101,425,97,19,18,559,5,3,5,567,209,161,936
LGA37550,24,33,0,55,6,5,0,0,13,4,0,4,21,21,4,44,15,5,0,0,22,5,0,5,27,26,0,54,16,4,0,0,17,5,0,3,25,28,3,52,6,10,0,0,18,0,5,5,19,17,0,40,5,3,0,0,11,0,0,0,7,18,0,25,8,0,0,0,9,0,0,0,9,15,0,23,0,3,0,0,3,0,0,0,3,11,0,16,0,0,0,0,0,0,0,0,0,6,0,12,111,70,6,6,194,34,21,53,254,378,29,663
LGA37570,3,7,0,18,0,7,0,0,3,0,0,0,7,5,0,9,3,0,0,0,4,0,0,0,4,10,5,16,3,0,0,0,5,0,0,0,13,8,0,16,5,4,0,0,3,0,0,4,8,9,0,19,3,0,0,0,3,0,0,0,3,12,0,18,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,5,0,0,0,5,8,0,8,24,18,0,4,44,10,3,17,58,128,10,199
LGA37600,74,75,6,155,21,22,0,0,42,15,9,23,60,58,4,124,16,13,0,0,34,17,3,18,49,58,0,108,32,23,0,0,55,8,9,18,71,73,5,152,6,16,4,4,32,4,8,12,41,76,4,124,20,8,0,5,29,0,5,6,37,47,3,91,4,4,0,0,3,3,0,0,7,42,6,51,0,4,0,0,5,0,0,0,5,30,0,40,0,0,0,0,0,0,0,0,0,34,7,36,216,149,11,21,398,169,67,236,635,1054,72,1757
LGA39499,433,293,354,1077,146,89,38,16,294,41,21,63,357,281,364,1005,129,90,23,6,251,50,31,77,329,308,340,976,133,77,29,10,250,53,23,73,327,353,276,959,128,84,43,8,260,38,25,63,317,504,275,1101,97,72,34,6,213,35,30,65,274,861,226,1367,38,40,10,3,92,9,11,16,117,954,201,1269,7,14,4,0,22,4,0,3,28,715,115,854,0,4,3,0,8,0,0,0,10,394,86,489,1610,1119,371,124,3219,565,286,851,4069,5780,3387,13234
LGA39799,6,0,27,34,5,0,0,3,5,0,0,0,5,3,18,26,9,0,0,0,11,0,0,0,11,0,20,26,4,0,0,0,4,0,0,0,4,0,15,18,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,4,5,29,3,0,3,35,11,135,183
LGA40070,1421,264,121,1807,683,244,29,5,965,36,23,58,1020,218,107,1349,605,187,26,6,822,46,15,64,880,224,89,1197,524,185,24,4,734,27,16,43,775,230,84,1084,502,213,28,7,747,30,16,43,794,308,78,1182,355,218,26,4,609,18,19,37,647,388,70,1102,195,171,13,5,378,8,13,20,402,652,75,1130,91,156,5,0,251,5,0,3,254,781,74,1111,36,85,3,8,129,0,0,0,134,1283,153,1568,7215,4777,492,157,12644,555,741,1299,13937,7948,1689,23578
LGA40120,2032,230,67,2330,1409,664,79,21,2161,29,22,51,2218,209,94,2521,1652,785,53,16,2513,31,24,54,2568,259,116,2944,1798,799,89,23,2707,25,28,46,2761,294,127,3181,1504,769,116,18,2410,40,18,59,2469,471,131,3072,1005,751,104,20,1882,27,31,54,1936,955,122,3015,401,505,50,7,962,5,16,28,997,1566,88,2647,159,256,24,16,456,0,12,12,462,1857,88,2409,66,133,18,15,228,0,0,0,228,2727,202,3160,11758,8055,975,258,21047,305,435,746,21788,10347,1392,33530
LGA40150,505,77,39,623,283,126,17,14,441,9,4,11,451,88,37,574,353,161,15,13,540,7,3,15,552,79,47,679,374,170,31,8,574,15,3,17,591,135,65,793,338,171,24,8,541,16,11,23,564,199,45,804,213,121,31,4,367,7,3,19,381,257,43,679,75,51,4,3,140,0,0,3,144,324,31,495,30,28,5,0,71,0,0,0,68,321,23,414,16,21,11,0,40,0,0,0,44,413,50,509,2939,1581,233,92,4851,125,90,215,5065,2398,534,7993
LGA40220,1006,191,67,1266,646,394,40,13,1088,9,16,26,1121,186,56,1358,753,436,53,13,1256,31,23,55,1304,270,85,1664,829,482,47,17,1378,25,21,45,1424,291,94,1807,701,561,78,20,1353,36,29,63,1419,484,111,2013,536,571,92,15,1205,33,26,58,1268,1094,101,2459,239,341,46,9,633,7,18,23,651,1858,122,2630,79,175,15,13,291,0,4,4,295,2292,126,2710,38,108,9,20,170,6,0,4,174,3642,255,4072,5802,4866,605,186,11456,269,271,538,11996,11434,1244,24672
LGA40250,66,89,6,161,20,16,0,0,43,15,3,19,58,79,6,142,26,16,4,3,45,4,3,10,58,59,9,127,33,19,0,5,59,9,0,5,65,62,20,144,27,12,0,3,44,8,0,10,56,45,7,108,23,3,3,4,33,0,0,0,39,31,9,77,6,8,0,0,11,0,0,0,13,23,0,33,4,4,0,0,5,0,0,0,5,20,0,26,3,7,0,0,9,0,0,0,9,19,8,40,284,174,26,43,518,163,52,217,740,908,130,1775
LGA40310,1304,163,53,1521,818,369,43,18,1243,15,17,32,1277,144,63,1487,973,363,45,23,1403,15,15,30,1435,135,89,1656,961,415,66,19,1463,30,18,43,1508,229,65,1798,826,440,59,14,1346,12,12,26,1371,318,71,1762,584,468,54,11,1119,27,21,45,1163,622,65,1848,216,239,39,3,498,6,4,9,510,1125,72,1707,64,139,12,5,214,0,0,0,214,1275,64,1547,39,64,7,13,121,0,4,4,121,2163,145,2432,7130,4345,584,203,12267,218,210,421,12691,7118,867,20672
