LGA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
LGA17550,13,16,11,36,96,306,296,166,115,38,1092,0,0,0,10,7,9,51,216,287,181,152,25,951,0,0,4,8,8,4,32,93,139,109,89,6,495,0,0,3,5,4,8,21,58,102,103,158,21,489,0,0,4,3,3,3,16,29,51,57,165,6,354,0,0,11,13,17,10,31,107,115,86,97,31,514,0,0,28,20,5,26,23,23,7,14,4,57,212,44,48,491,398,294,559,1086,2339,1761,999,1013,387,9422
LGA17620,4,7,11,27,60,28,11,0,5,11,164,3,0,13,13,10,22,44,41,7,0,0,12,167,0,0,0,0,0,11,17,19,6,0,3,6,67,0,0,0,7,4,10,16,14,12,0,0,6,80,0,0,0,0,0,3,11,18,9,5,0,4,44,0,0,0,3,0,10,7,19,3,0,0,5,54,0,0,0,7,9,4,11,0,0,0,0,10,37,18,9,89,167,122,239,336,195,61,8,16,113,1375
LGA17640,3,3,3,12,11,19,7,0,0,3,60,0,0,0,3,9,5,13,13,0,0,0,7,44,4,0,3,0,0,0,5,5,0,0,0,0,22,0,0,0,0,0,0,6,11,3,0,4,0,22,0,0,0,5,0,3,8,6,3,0,0,4,25,0,0,0,0,6,0,0,3,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,35,40,27,71,91,74,17,3,8,43,425
LGA17650,0,8,8,8,8,14,3,0,0,4,43,0,0,0,5,0,0,10,11,0,0,0,7,39,0,0,0,0,0,0,3,0,0,0,0,7,19,3,0,0,0,8,5,4,8,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,4,0,3,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,7,9,0,37,67,50,65,79,47,13,0,0,23,405
LGA17750,28,52,63,136,385,330,85,7,0,22,1103,0,0,3,45,34,116,265,332,101,20,5,33,961,3,0,0,17,15,59,107,162,67,16,0,9,464,0,4,3,6,13,56,97,160,91,11,5,12,458,5,6,12,8,10,24,28,88,80,20,19,17,305,0,0,7,20,15,39,79,104,49,7,6,22,353,3,7,21,34,8,16,23,11,4,0,4,60,180,56,89,458,778,668,1236,2131,1774,574,107,55,324,8264
LGA17850,3,3,4,7,3,0,0,0,0,6,29,0,0,3,3,4,3,0,0,0,0,0,0,19,0,0,0,0,4,0,3,0,0,0,0,6,10,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,4,0,0,0,0,3,8,0,0,0,0,0,0,3,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,5,8,3,3,40,43,32,45,26,6,0,0,0,31,242
LGA17900,4,4,9,5,4,0,0,0,0,9,58,19,0,0,4,12,10,0,0,0,0,0,6,57,10,0,0,0,3,8,0,0,0,0,0,0,23,14,6,0,4,7,6,0,6,0,0,3,6,44,15,0,4,5,0,3,4,0,0,0,0,6,37,6,0,3,3,0,3,7,0,0,0,0,6,32,0,0,0,7,0,0,0,0,0,0,0,4,15,95,22,48,113,74,87,27,9,3,0,6,80,574
LGA17950,5,12,6,7,9,0,0,0,0,4,29,0,0,0,0,3,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,4,6,0,0,0,0,19,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,18,0,0,5,4,0,0,0,0,0,0,0,0,5,3,7,32,39,48,32,29,13,4,0,3,17,231
LGA18020,15,18,20,18,8,0,0,0,0,10,93,3,3,13,9,9,25,7,0,0,0,0,6,72,3,0,3,0,3,0,0,3,0,0,0,4,20,4,3,0,4,9,5,7,0,0,0,0,0,30,0,0,3,0,0,3,6,0,0,0,0,4,22,0,0,5,3,9,3,3,0,0,0,0,4,29,0,0,0,8,7,0,0,0,0,0,0,5,17,25,28,111,161,118,130,64,10,3,3,4,93,752
LGA18050,0,4,3,7,33,188,316,332,437,21,1336,0,0,3,4,0,8,36,118,345,474,757,22,1775,0,0,0,0,0,3,22,28,101,234,472,16,888,0,0,3,4,4,7,19,35,154,380,1223,33,1863,0,0,3,3,7,11,14,54,144,340,3400,64,4044,3,0,5,0,4,8,18,15,41,82,396,56,620,0,0,12,6,0,3,0,9,9,15,38,69,175,31,33,217,103,83,112,350,996,1631,2266,7364,411,13592
LGA18100,0,8,4,3,0,0,0,0,0,0,20,0,0,0,3,12,4,3,0,0,0,0,0,18,0,0,0,3,3,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,4,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,10,26,4,43,60,54,57,12,6,0,0,5,13,276
LGA18200,0,4,8,6,11,8,0,0,0,3,51,3,0,5,4,0,5,5,4,0,0,0,5,38,0,0,3,0,3,0,0,10,0,0,0,0,25,3,0,0,0,0,0,0,7,0,0,0,0,15,0,0,5,0,5,7,0,0,0,0,0,4,15,0,0,4,5,7,3,5,0,5,0,0,0,29,0,0,0,5,8,0,0,0,0,0,0,10,15,28,8,64,119,98,73,55,32,9,4,8,36,534
LGA18250,0,4,9,9,35,180,383,226,260,31,1153,8,0,4,6,0,19,25,187,470,362,399,27,1507,0,0,3,0,3,9,13,50,202,192,245,11,726,3,0,4,5,4,8,20,64,312,404,537,29,1385,4,0,5,4,6,9,12,56,261,424,1676,34,2492,0,0,3,3,0,13,10,20,52,63,176,34,388,4,0,0,4,4,0,0,6,12,6,13,46,91,38,8,126,183,99,179,302,1103,2383,2114,3824,347,10710
LGA18350,11,3,7,23,39,140,131,77,32,21,479,0,4,4,5,10,14,37,102,127,86,47,17,452,0,0,3,6,3,0,16,47,82,69,46,6,279,0,0,3,0,5,7,8,38,82,69,62,9,282,0,0,0,3,4,8,12,22,41,64,150,10,313,0,0,0,3,3,0,12,45,41,33,33,17,190,0,0,3,16,0,8,7,7,9,0,0,25,70,9,17,72,234,138,222,404,872,808,521,465,195,3961
LGA18400,4,4,5,10,35,150,119,42,20,18,406,0,0,0,4,4,0,25,118,109,49,17,13,350,3,0,0,0,5,3,15,42,79,46,25,9,215,0,0,0,4,0,4,14,45,67,56,37,8,226,0,0,5,3,0,6,9,20,36,44,40,3,158,0,0,0,4,0,0,7,36,30,18,10,8,122,0,0,0,6,3,0,3,9,5,0,3,13,43,15,7,50,136,81,130,329,835,639,302,196,134,2846
LGA18450,31,49,53,119,354,1004,832,306,124,63,2933,0,0,12,21,31,56,187,813,865,460,186,37,2672,0,0,3,15,12,24,84,331,498,307,188,21,1482,4,0,6,10,16,33,68,276,459,401,267,27,1571,4,0,22,11,13,12,48,125,242,313,453,37,1272,9,7,30,51,23,36,80,242,267,231,159,65,1197,19,16,117,36,19,24,34,37,22,11,11,118,447,229,320,2369,1309,874,1462,3012,5873,4745,2550,1613,827,25180
LGA18500,3,4,5,8,29,114,182,160,254,19,787,0,0,0,0,0,7,29,99,206,224,383,21,977,0,0,0,0,0,0,11,13,50,95,226,6,405,4,0,0,5,4,9,14,31,80,219,608,20,979,0,0,5,0,3,4,12,31,85,216,2261,39,2665,0,0,0,0,0,0,11,12,26,53,320,21,446,0,0,0,0,0,0,0,4,4,3,19,27,66,16,4,66,55,37,100,304,647,969,1219,4544,227,8191
LGA18710,6,3,0,10,35,44,22,7,4,7,142,0,0,0,5,3,5,18,38,22,10,8,10,123,0,0,6,3,0,0,11,16,16,5,6,0,70,6,0,0,0,0,4,8,22,24,6,6,9,76,4,0,0,0,0,0,8,20,9,17,22,15,92,0,0,0,5,3,0,6,14,8,0,0,6,44,0,0,0,0,0,0,0,5,0,0,0,0,10,9,6,43,58,45,63,191,246,127,56,57,73,972
LGA19399,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,9,0,6,3,4,10,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,11,7,11,7,17,9,0,3,24,105
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,4,6,6,15,36,31,14,0,0,4,117,0,0,4,3,7,15,38,33,12,0,0,6,127,0,0,0,6,4,3,11,18,7,0,5,7,64,0,0,3,0,0,8,14,22,14,0,5,3,67,0,0,0,0,0,6,6,6,16,0,17,12,54,0,0,0,0,5,5,12,8,6,0,4,0,40,0,0,4,4,0,0,3,0,0,0,0,0,22,19,10,77,120,102,165,236,178,67,15,46,59,1088
LGA20260,6,8,12,35,37,16,6,3,3,7,136,4,3,4,7,11,20,24,17,3,0,0,4,90,0,0,0,0,0,12,8,7,0,0,4,6,45,0,0,6,0,0,3,10,8,4,0,0,3,41,0,0,0,4,0,4,0,8,4,0,0,5,22,3,0,3,5,4,4,8,7,0,0,0,0,38,0,0,10,4,6,7,0,0,0,0,0,8,37,20,23,111,138,108,227,186,101,26,6,14,55,1005
LGA20570,33,67,65,257,698,552,61,4,10,35,1796,3,5,14,30,49,147,497,530,73,8,7,31,1389,0,5,8,19,15,48,197,279,62,4,15,11,670,8,4,3,3,16,41,177,311,82,15,14,13,687,4,4,5,10,8,21,58,170,93,23,17,11,433,7,4,15,24,19,65,160,200,39,7,10,25,578,0,3,41,29,19,39,32,10,0,0,0,75,257,121,123,904,1084,873,2465,4282,3228,555,88,99,476,14298
LGA20660,17,26,19,61,264,779,302,75,41,38,1628,6,3,15,11,15,37,162,724,415,121,75,40,1629,5,0,4,9,3,19,69,387,291,122,39,21,965,0,0,3,6,3,23,80,403,437,194,74,12,1251,6,3,9,12,8,11,52,188,309,232,230,19,1073,5,7,18,17,5,28,49,137,113,59,42,45,521,4,0,32,14,9,3,10,16,9,5,4,57,149,110,88,696,404,246,492,1623,4316,2381,932,590,481,12372
LGA20740,4,17,13,42,109,155,45,9,6,13,406,0,0,7,5,7,28,75,120,38,0,0,14,288,0,0,0,4,4,14,31,52,23,3,3,10,143,0,0,5,3,0,13,24,57,34,0,9,0,146,0,0,6,0,0,9,24,27,19,10,7,5,112,0,0,8,3,6,20,39,43,15,5,5,7,151,0,0,11,8,3,14,23,6,0,0,0,23,84,31,21,186,189,200,490,1058,863,243,35,50,160,3537
LGA20830,14,8,29,46,137,220,20,0,3,15,500,0,4,6,11,9,24,96,216,34,3,3,10,416,0,0,4,3,6,3,44,124,19,3,0,3,217,0,0,3,10,3,10,39,105,33,6,3,3,214,0,0,8,3,6,6,11,64,18,3,0,10,141,0,0,6,5,6,11,43,58,22,0,0,11,168,0,0,8,9,0,3,12,0,0,0,0,24,66,39,27,238,239,232,445,1113,1287,187,32,34,178,4048
LGA20910,3,9,10,18,57,237,223,108,146,22,826,4,0,7,9,6,8,37,215,264,132,206,35,931,0,0,3,3,5,4,19,88,144,100,178,15,557,0,0,0,4,6,8,27,92,209,221,375,19,961,5,0,14,6,5,9,16,80,172,259,1420,33,2009,0,0,5,4,6,5,8,27,54,33,153,34,330,0,4,9,5,5,0,7,4,10,0,11,43,103,68,53,365,217,114,197,482,1408,1487,1054,2773,343,8557
LGA21010,5,4,10,24,55,35,4,0,0,4,146,0,0,4,10,12,21,36,20,11,5,0,10,120,0,0,0,0,3,9,14,14,0,0,0,0,41,0,0,0,0,3,3,15,13,4,0,0,0,40,3,0,0,3,4,0,12,9,11,0,0,4,49,0,0,4,9,3,9,21,8,3,0,0,9,64,0,0,10,10,0,4,4,0,0,0,0,11,45,10,17,120,185,143,244,313,167,41,7,8,91,1356
LGA21110,8,23,28,50,330,913,417,161,223,45,2207,0,0,3,21,14,48,211,933,613,261,314,27,2441,0,0,3,12,11,13,62,372,393,194,219,24,1299,0,0,5,12,15,23,70,483,619,353,563,36,2181,3,5,11,6,5,7,58,269,493,478,1809,58,3208,0,0,10,3,8,6,27,120,162,108,265,44,759,0,0,8,0,0,5,10,16,15,6,14,53,136,67,60,352,282,319,470,1889,4913,3478,1872,3963,550,18208
LGA21180,23,51,36,135,720,1007,143,15,40,77,2267,10,4,18,26,20,83,531,920,163,24,28,61,1881,0,0,12,18,20,40,292,577,100,16,20,28,1134,0,8,14,17,6,23,236,526,158,20,20,31,1060,7,5,9,14,6,19,118,370,158,27,24,32,786,6,0,17,26,20,47,217,342,69,12,16,105,888,4,0,21,7,7,19,65,37,8,0,5,89,263,116,109,603,703,502,1287,4995,6411,1098,183,270,931,17203
LGA21270,10,5,5,11,0,3,0,0,0,3,45,4,0,13,4,3,0,0,0,0,0,0,0,25,4,0,6,6,4,0,0,0,0,0,0,3,15,0,0,8,4,5,3,0,0,0,0,0,0,21,0,0,0,0,5,6,7,0,0,0,0,0,14,0,0,0,3,3,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,6,11,42,17,89,94,59,40,15,3,0,0,0,43,395
LGA21370,27,22,32,71,106,79,25,5,3,17,399,3,0,11,23,27,56,75,101,16,0,4,16,325,0,0,7,3,6,21,28,42,9,0,3,3,127,0,0,5,6,4,18,21,33,21,0,0,9,120,3,0,0,5,9,7,9,16,20,0,3,7,82,0,0,4,11,11,20,25,30,9,0,0,9,137,0,0,16,23,11,12,3,0,0,0,0,27,95,51,63,387,488,385,570,619,451,125,10,29,204,3384
LGA21450,8,14,10,40,363,878,86,19,13,33,1470,0,0,8,11,10,20,241,791,106,10,16,29,1251,0,0,3,5,3,20,113,445,82,21,8,17,716,3,0,12,3,3,11,88,344,82,19,14,12,579,0,0,0,5,6,4,30,179,69,11,23,6,336,0,0,6,6,9,7,63,210,25,6,13,46,401,3,0,4,3,0,10,24,22,3,0,4,40,118,48,35,189,179,149,379,2292,4685,601,113,135,350,9151
LGA21610,31,33,32,63,724,2535,405,43,72,96,4049,0,4,22,24,21,48,509,2315,497,70,83,83,3685,0,4,15,12,15,32,218,1316,357,54,33,54,2099,5,4,7,11,9,22,192,1183,426,82,52,68,2071,3,0,17,10,9,12,94,540,372,112,67,40,1274,3,0,11,21,19,33,186,664,192,37,19,131,1321,3,0,18,13,5,21,46,66,13,4,0,130,319,103,102,685,517,354,757,4904,13912,2998,505,472,1101,26404
LGA21670,8,3,4,32,23,11,0,0,0,3,91,0,0,0,4,10,19,12,6,0,4,0,0,48,0,0,0,0,4,7,8,0,0,0,0,0,24,0,0,4,0,4,5,4,0,0,0,0,3,28,0,0,0,0,0,3,4,0,0,0,0,0,16,0,0,0,7,6,9,12,3,0,0,0,0,48,0,3,11,3,9,11,3,0,0,0,0,9,63,17,31,143,161,170,352,218,41,7,5,9,73,1229
LGA21750,8,11,7,41,72,48,6,0,5,13,212,4,0,9,0,13,27,53,54,7,0,6,12,187,0,0,3,0,4,11,21,20,3,0,5,5,74,0,0,6,3,4,12,24,27,10,0,3,9,84,0,0,5,0,0,0,3,19,8,0,8,9,60,0,0,0,3,10,15,20,23,0,0,0,9,82,0,0,6,4,5,9,3,5,0,0,0,20,51,33,18,198,167,185,370,456,318,53,8,30,138,1976
LGA21830,8,10,11,31,26,9,0,0,0,14,124,3,0,11,10,12,19,18,9,0,0,0,10,101,4,0,6,3,0,7,14,3,0,0,0,9,48,0,0,7,0,0,0,9,8,0,0,0,4,32,0,0,4,0,5,0,3,4,3,4,4,9,30,0,0,4,4,7,13,14,5,0,0,0,5,55,5,0,11,0,0,9,3,0,0,0,0,5,31,29,26,166,148,153,260,190,57,8,5,10,114,1163
LGA21890,26,42,39,112,691,1343,456,157,112,60,3050,6,0,20,25,18,58,419,1229,650,274,149,50,2899,3,0,13,11,12,22,156,606,467,231,134,22,1684,3,0,17,13,7,27,132,599,569,448,315,37,2162,3,4,16,16,11,10,60,275,377,370,676,36,1853,8,5,28,31,13,20,101,239,201,148,178,79,1035,3,8,40,13,14,18,26,25,5,8,8,96,259,169,177,1138,691,527,1175,4250,6948,3421,1839,1778,768,22882
LGA22110,17,28,25,80,152,98,10,0,9,17,439,3,0,8,16,19,54,103,99,14,0,9,6,335,4,0,6,7,3,19,30,51,8,0,0,4,131,3,0,3,3,5,5,29,46,16,0,6,7,129,3,0,10,3,4,6,21,29,10,5,3,0,86,0,0,11,11,6,42,47,48,12,0,0,14,196,4,5,28,18,11,16,7,12,6,0,0,33,144,62,58,345,409,340,775,976,639,88,16,30,219,3975
LGA22170,20,21,24,73,474,1042,259,39,45,52,2055,5,4,8,13,22,33,313,859,332,64,42,26,1713,0,0,4,5,5,16,104,434,211,37,27,17,856,0,0,6,5,5,15,88,327,275,68,44,21,863,6,0,6,8,5,10,35,122,132,63,75,12,462,0,0,10,11,7,25,106,232,96,31,20,54,597,0,0,27,10,11,23,42,26,16,0,9,95,258,92,82,625,510,439,1164,3500,5474,1794,394,341,559,14973
LGA22250,10,23,15,20,14,3,0,0,0,0,87,0,0,4,4,15,17,7,3,0,0,0,4,60,0,0,9,3,5,6,7,0,0,0,0,0,32,0,0,0,5,0,3,4,0,0,0,0,0,22,0,0,7,6,6,3,0,0,0,0,0,3,24,0,0,0,6,7,5,5,0,0,0,0,0,23,0,0,4,10,5,0,0,0,0,0,0,13,39,18,30,111,207,152,140,57,19,9,0,7,60,807
LGA22310,15,24,31,115,445,868,462,192,229,41,2418,9,5,12,20,11,63,281,871,676,288,307,53,2592,0,0,3,5,7,20,96,386,472,234,234,15,1492,0,0,5,13,8,18,102,437,676,401,515,45,2212,6,0,11,11,6,14,46,219,453,436,1335,32,2577,5,8,5,9,8,22,55,140,140,111,172,59,728,3,0,5,8,5,18,13,23,12,0,15,79,177,88,57,374,392,315,1129,2679,4905,3901,2043,3276,575,19732
LGA22410,8,25,26,35,41,28,6,0,0,12,184,0,0,6,17,14,24,38,35,0,4,5,6,154,0,0,6,3,5,11,14,11,0,0,0,4,49,0,0,5,4,5,6,10,9,3,0,6,5,50,0,0,0,8,4,3,4,10,10,0,0,10,44,3,0,3,3,10,11,12,15,3,0,4,4,69,0,0,10,11,3,7,0,0,0,0,0,18,46,33,23,209,295,217,268,270,177,29,8,15,94,1634
LGA22490,0,0,5,3,22,24,11,0,0,9,75,0,0,0,0,0,3,10,20,14,0,0,7,66,0,0,0,0,0,0,8,18,10,0,0,0,40,0,0,0,0,3,0,7,17,9,3,5,4,42,0,0,0,0,0,0,0,7,10,0,0,0,30,0,0,0,0,5,0,3,9,3,0,0,3,31,0,0,3,0,3,0,3,0,0,0,0,5,14,9,9,25,34,39,42,127,168,71,13,6,59,602
LGA22620,22,60,57,225,608,463,68,15,7,35,1574,0,0,16,31,39,167,481,446,72,7,5,27,1299,0,0,3,23,18,59,201,250,66,6,0,14,636,5,0,7,14,14,24,174,287,74,12,9,13,630,0,0,3,3,8,17,51,123,97,21,12,9,356,3,0,24,26,22,67,155,141,51,12,8,24,532,9,4,35,24,15,34,27,8,4,4,0,56,232,113,114,799,942,836,2201,3824,2680,541,95,73,432,12655
LGA22670,31,41,40,149,706,961,176,43,51,58,2259,3,8,24,34,18,126,537,942,197,44,37,61,2025,6,0,15,10,7,36,264,591,185,38,32,44,1214,5,3,19,13,13,29,190,532,202,73,38,33,1151,6,3,19,14,5,25,126,334,170,66,40,29,841,8,3,24,24,14,50,212,332,92,36,21,112,935,4,6,37,20,7,24,29,25,12,0,6,86,249,123,164,900,745,482,1685,4922,6162,1442,382,352,855,18231
LGA22750,52,82,70,247,1030,1614,411,57,38,69,3691,5,3,38,42,45,145,722,1659,554,85,65,76,3438,0,3,20,20,25,61,284,848,358,75,55,28,1775,4,8,15,19,30,48,198,842,544,124,85,39,1951,5,5,16,22,10,37,97,370,434,216,191,51,1449,7,5,45,53,28,86,218,419,223,66,31,75,1266,3,16,58,40,26,61,69,36,17,3,6,148,487,242,233,1467,1497,1246,2768,6719,9584,3247,739,606,994,29331
LGA22830,21,58,60,181,291,156,19,0,4,27,816,0,0,15,24,63,116,208,195,37,3,7,16,685,0,0,6,17,16,64,111,102,19,0,5,4,344,0,0,8,6,13,27,66,79,41,4,0,14,262,0,0,10,12,9,16,40,75,46,3,8,13,238,0,0,10,15,20,32,76,64,18,3,3,21,275,0,5,19,26,19,27,18,7,0,0,0,43,170,61,77,548,768,735,1418,1728,1059,237,31,55,308,7024
LGA22910,7,5,8,13,29,37,14,3,6,3,122,0,0,3,3,6,5,23,25,12,0,0,6,78,0,0,0,0,4,5,4,14,0,0,5,0,29,0,0,0,0,0,7,3,9,7,0,0,9,36,0,0,0,0,0,0,5,13,12,3,4,0,41,0,0,3,0,5,5,7,3,3,3,0,3,37,0,0,9,4,4,0,3,0,0,0,0,9,20,5,15,109,77,90,113,251,213,62,19,35,60,1040
LGA22980,5,10,13,10,3,0,0,0,0,0,44,0,4,7,4,3,3,0,0,0,0,0,3,25,0,0,6,3,5,7,0,0,0,0,0,0,15,0,0,0,0,4,3,0,0,0,0,0,0,12,0,0,0,3,3,0,5,0,0,0,0,0,11,0,0,3,0,5,7,0,0,0,0,0,4,19,0,0,3,8,0,0,0,0,0,0,0,4,19,20,18,64,111,73,56,18,5,0,0,7,33,408
LGA23110,5,14,11,54,354,516,201,58,48,25,1303,7,0,5,10,10,30,228,496,306,107,73,38,1300,4,0,9,0,5,19,104,274,163,86,56,16,725,4,0,0,6,3,18,87,306,315,178,148,18,1088,3,0,0,6,9,7,44,157,221,239,324,27,1034,0,4,7,11,10,6,63,100,59,41,49,49,403,6,4,14,5,3,8,15,16,5,0,4,62,146,63,78,367,299,236,472,2170,2971,1560,801,801,431,10265
LGA23190,13,18,21,35,79,39,0,0,0,12,222,3,4,4,9,16,37,55,47,9,0,0,4,195,0,0,0,0,5,15,19,27,6,0,0,4,79,3,0,0,0,0,13,25,31,10,0,8,6,101,5,0,0,0,3,12,14,18,11,0,0,7,80,0,0,3,8,6,16,9,7,0,0,0,4,65,0,0,5,8,12,3,0,0,0,0,0,21,65,38,31,205,295,276,385,427,257,45,3,22,123,2114
LGA23270,17,22,26,61,532,1571,233,29,49,56,2606,0,5,12,13,12,37,395,1360,249,39,34,50,2209,0,3,7,4,7,13,192,747,145,26,15,28,1194,3,6,19,3,9,17,149,625,222,30,27,31,1138,7,0,6,11,3,6,70,339,165,38,27,33,691,6,3,11,22,7,22,133,395,118,20,23,107,857,3,3,17,7,7,12,41,52,9,0,4,101,249,102,106,609,525,318,703,4203,9569,1623,237,319,857,19173
LGA23350,5,9,8,25,38,21,6,0,0,4,123,0,0,5,3,8,8,37,38,8,3,0,3,118,0,0,0,0,0,12,20,14,6,0,0,0,52,0,0,0,3,3,6,16,19,4,0,0,3,48,0,0,0,6,0,0,3,12,5,0,0,3,32,0,0,0,3,0,5,16,6,5,0,3,0,47,0,0,3,0,3,0,8,0,0,0,0,8,26,17,12,91,112,100,155,254,172,40,11,13,47,1025
LGA23430,18,22,21,48,304,918,426,140,79,57,2031,0,0,15,11,15,35,208,795,591,221,129,42,2066,0,0,3,3,7,20,85,368,408,152,100,23,1163,0,0,9,10,10,11,76,385,489,298,204,25,1513,0,3,0,10,10,10,29,163,306,291,445,23,1288,4,0,11,4,3,7,40,148,130,81,70,67,558,0,3,18,9,3,11,11,23,6,5,7,71,168,79,83,566,427,273,618,2192,4875,3113,1386,1198,605,15405
LGA23670,14,22,15,27,209,972,402,70,33,29,1791,0,0,8,16,7,18,146,905,526,81,37,32,1777,0,0,3,7,3,7,86,465,357,78,24,11,1061,0,0,5,16,7,4,35,410,427,133,45,17,1114,5,0,6,3,3,3,14,157,256,107,70,17,650,3,0,7,14,3,13,33,194,138,35,20,39,508,5,0,11,0,3,4,14,13,11,0,6,63,132,80,72,462,321,214,382,1457,5230,2712,603,308,439,12279
LGA23810,16,51,103,171,219,149,27,4,0,16,774,11,5,14,31,50,116,189,122,21,4,3,17,571,0,0,3,9,24,48,67,65,27,3,0,0,252,0,0,6,11,15,26,62,77,21,3,0,11,229,0,3,6,16,10,30,29,54,31,0,7,8,192,0,0,14,25,30,62,71,43,6,0,0,23,285,10,3,42,43,24,27,14,5,0,0,4,59,234,140,142,828,1217,1125,1620,1495,788,185,19,36,322,7918
