LGA_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
LGA33980,11,0,0,0,0,0,0,0,0,0,6,3,30,0,4,3,0,0,0,0,0,0,0,0,0,7,8,5,9,0,0,0,0,4,0,0,0,3,28,14,11,9,4,0,0,0,0,0,0,0,0,34,8,14,13,6,0,4,0,5,0,0,3,4,59,0,4,0,0,4,0,0,0,0,0,0,0,10,5,8,13,14,10,10,5,3,0,0,0,13,73,20,6,9,10,7,3,5,3,3,0,9,10,90,40,10,13,13,4,0,7,0,0,3,9,28,130,53,18,5,8,4,12,4,12,4,0,19,29,162,168,13,27,22,0,13,16,20,13,3,38,53,387,122,22,19,7,0,12,5,13,6,9,29,23,268,736,114,52,11,11,16,10,26,16,6,107,96,1206,405,48,38,11,3,8,8,14,9,4,77,42,678,212,43,22,11,7,6,5,6,6,3,62,29,409,146,28,22,15,5
LGA34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,28,40,0,0,0,0,0,0,0,0,0,0,0,45,19,3,0,0,0,0,0,0,0,0,0,0,20,29,0,0,0,0,0,0,0,0,0,0,0,29,17,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
LGA34530,0,0,5,6,3,9,6,5,4,3,0,0,42,5,3,3,4,0,0,0,4,0,0,0,0,28,13,14,28,21,4,14,5,8,0,0,8,7,125,17,35,49,43,23,19,19,3,0,0,0,6,222,5,0,42,50,33,39,59,10,3,0,0,11,250,3,0,15,27,14,15,27,9,0,0,0,8,104,9,13,14,36,25,70,83,25,0,0,0,18,296,8,0,26,28,19,48,66,30,6,3,0,3,236,0,0,10,18,16,44,87,53,7,0,0,10,245,0,0,3,9,17,35,78,35,4,0,0,10,200,7,0,5,10,9,32,102,81,26,9,4,9,298,0,0,4,3,6,24,62,63,7,0,3,7,182,0,0,0,3,9,14,28,67,31,6,4,3,169,0,0,5,3,0,4,19,37,15,0,0,3,96,0,0,0,0,5,0,6,16,8,0,4,0,36,0,0,14,14,10
LGA34570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,10,0,4,10,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,8,5,4,5,4,0,0,0,0,0,0,0,0,21,3,0,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34580,0,0,0,3,7,3,4,4,0,0,0,6,34,0,3,3,5,6,5,4,0,0,0,0,0,25,8,9,15,21,11,18,14,9,6,0,0,7,127,11,29,34,40,30,33,23,5,0,0,0,14,229,6,12,35,72,40,81,74,4,0,0,0,9,337,0,6,19,22,18,36,54,6,3,0,0,7,178,0,10,24,38,54,99,100,24,0,0,0,13,362,3,3,12,37,34,90,100,22,0,0,5,11,321,5,0,5,27,34,94,94,27,5,0,0,12,302,0,0,7,26,16,77,90,13,0,0,0,7,233,0,0,5,15,22,42,93,28,3,6,0,5,222,0,0,0,7,11,32,41,12,0,0,0,4,121,0,3,4,3,0,6,27,10,0,0,0,3,62,0,0,0,0,0,4,13,9,0,3,0,3,31,0,0,0,0,0,0,4,3,0,0,0,0,16,3,9,10,14,12
LGA34590,13,11,20,22,12,47,88,58,9,0,5,24,318,37,27,27,3,8,16,50,27,6,0,3,25,231,166,118,123,83,58,129,203,75,12,3,3,70,1035,276,289,185,151,107,208,299,101,5,5,12,71,1704,58,111,243,201,193,421,720,269,31,3,11,50,2307,28,60,286,117,71,201,367,129,12,4,9,36,1312,51,55,233,221,181,569,1272,488,37,7,20,79,3213,33,45,148,156,131,458,1149,565,59,9,14,66,2827,28,31,93,117,126,395,1418,833,69,14,8,54,3189,16,9,40,80,77,285,1086,833,81,22,13,44,2583,9,12,35,61,86,229,1277,1260,153,22,19,40,3197,0,0,12,29,48,103,667,820,142,18,17,31,1884,5,5,10,7,8,53,233,417,101,31,7,33,909,4,3,0,3,6,23,113,232,112,23,3,5,538,3,3,4,0,3,4,20,57,24,9,5,3,136,28,39,86,86,70
LGA34710,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,13,0,7,9,3,0,0,0,0,0,0,0,3,30,0,3,24,7,6,0,3,0,0,0,0,8,49,0,0,3,3,0,0,0,0,0,0,0,4,12,0,5,10,14,3,7,5,0,0,0,5,6,61,7,3,8,13,7,9,0,0,0,0,0,5,46,11,0,3,13,8,11,9,0,0,0,4,6,62,11,0,4,9,10,7,3,4,0,0,3,6,65,15,0,4,3,0,10,6,4,0,0,3,8,64,17,5,3,3,6,10,6,4,0,0,3,3,58,12,0,0,0,0,0,0,0,0,0,0,3,24,3,0,0,0,0,0,0,3,0,0,4,9,24,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,3
LGA34770,0,3,7,11,5,5,17,20,6,5,7,12,93,15,6,17,7,7,4,11,5,3,0,0,13,84,68,49,59,48,20,15,24,29,7,0,0,47,363,105,127,110,65,36,45,46,25,4,0,3,22,600,29,37,102,79,48,87,117,67,21,0,4,30,622,16,5,92,36,19,28,38,12,5,5,0,18,272,27,24,64,129,66,125,142,111,20,4,3,30,753,17,15,50,74,73,100,186,142,51,9,8,29,743,16,9,31,69,59,126,233,248,65,12,18,28,909,0,11,29,58,54,110,202,258,84,10,9,22,847,8,13,31,67,56,137,343,504,216,33,26,30,1454,4,6,8,22,26,56,199,421,180,25,15,16,977,9,9,12,13,24,55,140,300,223,75,39,30,941,5,0,10,14,7,34,95,266,197,46,30,21,737,3,5,4,7,0,7,24,78,86,23,23,13,264,13,15,47,63,45
LGA34800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LGA34860,0,0,0,3,0,5,0,0,0,0,0,7,18,3,0,0,4,0,0,0,0,0,0,0,0,8,11,4,24,12,0,0,3,0,0,0,0,4,50,19,10,26,14,0,0,0,0,0,0,0,4,79,3,6,32,17,12,11,7,0,0,0,0,8,83,3,3,17,5,0,0,3,0,0,0,0,0,44,4,7,20,16,14,12,7,4,0,0,0,14,106,12,0,19,12,7,11,16,10,0,0,0,14,105,14,3,12,13,15,18,25,12,3,0,3,13,139,13,3,13,15,12,17,7,0,4,0,0,16,99,11,7,16,14,13,19,29,19,14,0,3,6,147,10,9,8,7,3,4,25,23,5,0,0,0,91,9,6,5,3,0,8,12,15,8,6,5,12,89,7,3,0,3,0,3,8,8,4,4,0,3,56,0,0,0,0,0,0,0,4,0,3,5,9,24,4,0,19,15,9
LGA34880,0,0,5,3,3,5,0,0,0,0,0,3,25,0,4,5,3,0,0,3,0,0,0,0,0,24,15,11,34,21,10,4,8,6,0,0,0,6,111,29,26,61,41,9,16,9,0,0,0,0,5,194,3,0,46,50,20,23,17,3,0,0,0,8,183,9,8,25,29,10,16,18,3,0,0,0,11,118,3,15,36,42,36,29,28,8,0,0,4,6,203,4,10,29,47,29,26,32,12,0,0,0,9,192,7,6,17,36,24,30,34,5,0,0,0,3,167,3,7,5,27,12,22,22,13,0,0,0,0,114,3,9,8,22,11,26,41,6,0,0,0,3,138,0,4,10,9,15,9,19,7,0,0,0,3,76,0,0,5,3,4,4,5,5,0,0,0,6,36,0,0,0,0,5,5,5,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,13,18,11
LGA35010,5,8,19,23,14,48,93,49,24,4,5,47,348,31,22,18,18,22,38,66,45,4,0,4,23,295,214,179,160,141,111,180,244,83,13,0,12,89,1433,364,400,254,319,223,343,370,124,5,5,21,112,2529,66,105,316,397,384,694,1047,289,18,6,16,93,3420,44,47,313,159,107,288,557,145,11,6,11,51,1738,37,47,252,330,268,788,1640,569,53,18,17,74,4105,28,34,141,231,214,612,1697,722,48,7,16,71,3826,23,27,99,171,213,550,1939,1061,87,16,20,53,4251,8,10,62,89,134,347,1493,1043,122,22,12,52,3397,16,5,42,89,151,328,1750,1661,217,49,33,68,4406,3,0,22,53,102,144,810,1142,182,47,19,24,2547,8,5,8,16,38,56,382,625,218,86,39,21,1505,6,0,11,4,8,29,183,388,131,53,31,7,854,0,0,0,0,4,9,27,95,40,22,18,0,210,19,33,109,104,92
LGA35250,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,3,14,6,0,0,0,0,0,0,0,0,0,0,22,14,6,9,0,0,0,0,0,0,0,0,0,26,9,6,4,4,0,0,0,0,0,0,0,0,24,9,0,4,0,0,0,0,0,0,0,0,0,26,10,0,3,0,0,0,0,0,0,0,0,0,19,9,6,13,0,0,0,0,0,0,0,0,3,23,7,0,5,0,0,0,0,0,0,0,0,0,15,5,0,3,0,0,0,0,0,0,0,0,0,13,4,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
LGA35300,0,0,0,0,0,3,7,6,0,0,0,6,29,8,5,0,0,0,0,0,0,0,0,0,0,19,12,17,15,3,0,0,0,0,0,0,0,0,56,31,31,15,11,5,4,4,0,0,0,0,10,112,9,14,40,14,10,3,3,0,0,0,4,14,113,4,3,13,4,0,6,4,0,0,0,0,7,43,8,8,30,28,15,20,7,6,6,0,3,14,154,14,6,22,26,12,26,16,19,7,0,4,19,171,19,3,19,8,34,22,26,26,7,7,5,8,192,11,4,18,21,11,33,35,33,15,6,0,16,200,30,7,12,16,37,52,66,80,49,18,3,27,396,30,0,11,5,10,23,36,66,38,15,0,3,239,27,3,12,14,12,22,46,73,58,16,6,31,317,42,4,3,8,8,11,27,58,54,30,8,10,273,14,0,3,0,0,0,8,22,36,20,13,5,127,16,11,23,16,4
LGA35600,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,7,0,0,0,0,0,0,0,0,21,9,7,19,4,0,0,0,0,0,0,0,6,44,3,0,11,9,0,3,5,0,0,0,0,0,30,0,5,9,13,0,0,0,0,0,0,0,0,27,5,4,10,18,8,3,0,0,0,0,0,5,55,6,0,5,12,6,6,0,0,0,0,0,3,40,10,0,3,26,10,4,0,0,0,0,0,0,58,10,0,0,14,0,5,0,0,0,0,0,4,39,17,0,9,4,3,10,5,0,0,0,0,3,45,15,0,3,7,3,0,0,0,0,0,0,0,37,5,0,0,0,0,0,0,0,0,0,0,3,17,4,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,15,5
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,4,0,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,8,12,11,3,0,0,0,0,0,0,0,0,29,8,15,3,0,0,0,0,0,0,0,0,0,22,4,5,5,0,0,0,0,0,0,0,0,0,14,4,11,3,0,0,0,0,0,0,0,0,0,26,0,8,6,6,0,0,0,0,0,0,0,0,17,4,3,8,3,0,5,0,0,0,0,0,0,15,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
LGA35740,0,0,7,4,0,7,15,23,3,6,8,9,80,5,0,5,9,3,5,19,10,3,3,0,6,68,28,16,21,28,20,24,45,38,3,3,4,12,242,55,47,34,48,32,43,80,50,8,0,0,16,414,14,8,35,53,42,86,180,107,25,0,5,13,557,3,8,26,9,12,42,69,61,16,6,8,8,270,11,7,27,40,28,70,219,158,33,11,7,20,627,8,6,12,22,26,55,187,208,47,11,16,5,610,0,4,3,17,15,46,174,211,45,13,21,14,568,0,4,7,3,15,28,119,165,50,18,14,7,430,4,3,9,8,7,35,107,198,78,28,29,9,512,0,0,0,0,0,7,56,112,44,12,24,7,262,3,0,0,4,5,6,22,65,52,21,48,7,212,0,0,0,0,0,0,4,34,21,5,33,0,106,0,0,0,0,0,0,0,4,8,8,31,0,54,5,3,12,16,9
LGA35760,0,3,3,4,0,0,0,0,0,0,0,0,14,0,0,4,3,0,0,0,0,0,0,0,0,16,10,12,18,11,0,0,0,0,0,0,0,4,52,18,15,34,20,6,3,0,0,0,0,0,8,94,3,10,37,25,14,8,0,0,0,0,0,13,103,0,0,25,19,3,0,0,0,0,0,0,0,55,11,12,31,41,4,7,0,0,0,0,0,9,126,10,10,19,31,8,6,0,0,0,0,0,4,104,17,4,14,27,6,5,0,0,0,0,0,3,73,6,5,7,17,4,6,0,0,0,0,0,4,59,17,5,16,14,6,5,0,0,0,0,0,7,64,3,5,12,9,3,0,0,0,0,0,0,0,33,0,4,4,5,0,6,0,0,0,0,0,6,35,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,22,19,7
LGA35780,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,4,21,6,0,5,0,0,0,0,0,0,0,0,33,15,4,3,0,0,0,0,0,0,0,0,0,20,23,8,8,0,0,0,0,0,0,0,0,3,39,27,3,0,0,0,0,0,0,0,0,0,0,32,39,18,13,0,0,0,0,0,0,0,0,0,72,28,17,7,0,0,0,0,0,0,0,0,4,54,26,10,7,0,0,0,0,0,0,0,0,0,55,17,7,9,0,0,0,0,0,0,0,0,4,42,34,12,6,5,0,0,0,0,0,0,0,3,62,22,12,4,0,0,0,0,0,0,0,0,0,42,12,0,6,0,0,0,0,0,0,0,0,3,26,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0
LGA35790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,0,0,0,0,0,0,0,0,0,14,0,5,3,0,0,0,0,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,0,0,0,6,7,6,10,0,0,0,0,0,0,0,0,0,33,4,5,8,0,0,0,0,0,0,0,0,0,19,4,4,13,0,0,0,0,0,0,0,0,0,26,18,7,27,11,3,0,0,0,0,0,0,0,67,6,3,15,7,0,0,0,0,0,0,0,0,34,13,11,16,6,0,0,0,0,0,0,0,4,55,5,11,17,0,0,0,0,0,0,0,0,3,32,0,4,6,5,0,0,0,0,0,0,0,0,21,4,0,3,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
LGA35800,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,6,5,4,3,0,0,0,0,0,0,0,0,0,18,6,8,7,0,0,0,0,0,0,0,0,4,29,0,8,8,0,0,0,0,0,0,0,0,4,18,0,0,3,0,0,0,0,0,0,0,0,0,8,3,0,5,4,0,0,0,0,0,0,0,0,18,4,4,9,0,0,0,0,0,0,0,0,0,18,4,0,5,0,0,0,0,0,0,0,0,0,17,5,0,3,0,0,0,0,0,0,0,0,4,12,4,0,4,4,0,0,0,0,0,0,0,4,21,6,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,4,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,11,0,0
LGA36070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,5,7,0,11,0,0,0,0,0,0,0,0,0,18,8,0,3,0,0,0,0,0,0,0,0,0,18,5,4,7,7,0,0,0,0,0,0,0,0,15,12,0,9,6,0,0,0,0,0,0,0,0,29,8,0,4,3,0,0,0,0,0,0,0,0,10,10,0,9,4,0,0,0,0,0,0,0,0,19,4,0,4,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,5,0,0,0,0,0,0,0,0,0,18,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
LGA36250,5,0,11,9,3,7,19,19,16,3,5,20,115,11,7,14,17,10,5,15,18,0,4,0,11,117,76,75,61,68,42,30,42,42,13,0,10,27,483,157,167,87,141,68,64,77,64,10,0,12,39,883,27,40,94,156,93,97,151,155,30,0,4,12,859,7,8,90,54,33,55,76,108,19,0,3,19,470,13,24,54,105,80,97,256,290,45,13,5,18,1012,10,10,43,66,54,87,294,357,83,6,12,28,1045,18,5,33,52,44,87,292,524,115,19,13,20,1209,7,0,11,27,21,43,210,462,116,20,9,19,945,3,0,16,30,26,49,279,776,230,51,28,27,1517,0,9,4,10,17,24,124,481,208,35,26,11,945,0,0,3,6,4,3,35,252,194,48,55,8,620,0,0,4,0,0,3,24,132,153,40,51,7,413,3,0,0,0,0,0,12,33,45,18,17,7,132,8,6,28,28,40
LGA36300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,4,5,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
LGA36370,5,0,4,7,4,17,10,3,0,0,0,12,72,17,12,14,19,11,6,12,6,0,0,0,16,112,61,61,69,57,35,32,26,0,0,0,3,34,367,120,144,151,98,68,64,67,17,0,0,5,33,763,30,52,138,136,135,146,115,20,0,0,0,35,808,8,20,91,59,40,71,36,10,0,0,0,10,349,17,24,86,148,136,248,134,47,3,0,4,25,861,13,18,61,133,115,207,180,53,9,4,3,24,823,7,8,36,94,116,233,238,65,3,0,7,21,828,5,9,23,49,78,161,238,90,6,6,0,17,684,9,6,26,76,108,214,327,150,18,3,4,33,974,3,5,26,22,35,94,208,122,11,3,3,12,536,4,0,6,14,28,57,124,101,12,5,4,16,368,0,0,6,8,8,24,67,68,17,0,0,7,220,0,0,0,0,5,3,19,31,13,7,0,8,87,10,11,48,65,69
