Australian Bureau of Statistics

"2021 Census - employment, income and education"
"AGE10P Age in Ten Year Groups and INCP Total Personal Income (weekly) by SA1 (UR) by LTHP Type of Long-term Health Condition"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" 0-9 years,  Negative income"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"Segment 46",23,3,4,29,14,23,3,5,5,3,31,14,104,
"Segment 47",6,0,0,0,0,3,0,0,0,0,4,0,12,
"Segment 48",3,0,0,3,3,4,0,0,0,0,0,0,7,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,4,
"Total",2762,559,808,2260,1070,1964,501,524,1222,656,2137,1783,8389,


" 90-99 years,  $1-$149 ($1-$7,799)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",38,9,17,23,7,30,4,8,14,8,17,26,116,
"Segment 02",71,9,25,40,15,61,13,18,16,16,37,35,206,
"Segment 03",42,8,16,20,14,39,0,11,11,14,15,24,125,
"Segment 04",23,0,9,8,5,10,0,3,0,4,6,11,52,
"Segment 05",33,5,6,13,6,20,5,5,4,9,12,13,80,
"Segment 06",9,3,0,3,0,7,0,0,0,0,0,5,16,
"Segment 07",9,6,5,0,3,0,0,0,0,0,6,6,18,
"Segment 08",43,6,14,23,17,36,3,7,4,3,21,34,137,
"Segment 09",36,6,17,14,12,26,5,12,12,11,11,25,109,
"Segment 10",24,0,7,9,9,16,0,4,3,4,12,8,51,
"Segment 11",39,9,17,26,4,28,4,10,9,12,20,25,127,
"Segment 12",20,0,3,4,6,16,4,4,6,3,9,10,32,
"Segment 13",23,0,9,14,12,18,3,7,9,5,8,9,55,
"Segment 14",37,0,13,27,4,20,8,3,18,10,19,13,72,
"Segment 15",4,0,3,0,0,9,0,0,0,0,0,7,20,
"Segment 16",14,0,0,6,3,8,3,0,3,4,10,10,36,
"Segment 17",12,0,6,8,6,11,3,4,0,0,4,6,34,
"Segment 18",11,0,3,7,3,4,0,0,4,5,3,9,38,
"Segment 19",20,0,0,7,8,8,0,3,5,3,7,8,43,
"Segment 20",64,12,29,50,28,45,13,22,34,18,57,32,184,
"Segment 21",42,6,14,20,7,31,4,8,24,4,18,14,98,
"Segment 22",17,0,7,0,7,10,4,0,6,3,0,7,37,
"Segment 23",55,7,14,21,17,41,17,15,11,16,30,25,140,
"Segment 24",34,5,5,11,9,31,8,10,5,14,13,28,88,
"Segment 25",30,5,15,17,10,25,3,9,3,7,19,21,100,
"Segment 26",20,3,5,8,9,12,3,0,6,0,7,9,55,
"Segment 27",26,4,10,16,8,5,5,6,9,7,13,9,67,
"Segment 28",5,0,4,3,3,8,0,0,0,0,0,3,25,
"Segment 29",17,4,5,13,6,11,5,0,4,0,12,16,56,
"Segment 30",17,9,4,14,9,20,0,5,8,3,9,12,55,
"Segment 31",51,10,17,21,6,29,7,11,11,11,15,16,106,
"Segment 32",17,5,9,4,6,11,4,4,3,4,8,12,42,
"Segment 33",10,3,0,3,0,6,3,3,0,4,3,12,30,
"Segment 34",22,6,10,8,6,22,3,4,3,4,9,16,62,
"Segment 35",49,8,13,25,14,36,10,5,14,9,27,24,115,
"Segment 36",55,6,13,25,14,48,14,17,23,6,37,29,142,
"Segment 37",44,8,12,19,17,37,12,14,11,9,28,35,135,
"Segment 38",173,32,49,55,42,95,22,36,35,40,56,58,358,
"Segment 39",6,0,3,5,5,3,0,0,5,0,6,3,20,
"Segment 40",15,0,3,6,7,3,0,3,0,0,4,5,31,
"Segment 41",9,0,4,4,6,9,0,0,3,0,3,6,24,
"Segment 42",4,0,0,0,0,8,0,0,0,5,0,0,6,
"Segment 43",14,4,6,8,6,12,4,0,9,0,8,3,38,
"Segment 44",31,5,8,4,10,13,4,4,4,8,15,15,70,
"Segment 45",10,4,0,3,0,6,5,4,0,5,0,13,26,
"Segment 46",16,8,8,14,11,7,0,5,8,0,5,15,50,
"Segment 47",0,0,0,4,0,0,0,4,0,0,0,0,3,
"Segment 48",0,0,0,4,0,0,0,0,0,0,0,0,4,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",1346,233,432,642,380,947,223,283,346,294,638,721,3541,


" 90-99 years,  $150-$299 ($7,800-$15,599)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",84,16,32,40,25,65,12,13,14,24,42,46,234,
"Segment 02",171,34,48,94,48,118,18,25,31,25,79,78,438,
"Segment 03",105,13,24,33,23,65,8,10,23,10,39,62,247,
"Segment 04",42,11,13,17,14,25,8,8,0,5,16,24,105,
"Segment 05",73,13,24,35,29,53,13,14,12,14,8,39,163,
"Segment 06",14,3,5,7,3,14,3,3,5,3,4,8,33,
"Segment 07",15,0,0,12,11,6,3,0,3,0,13,3,38,
"Segment 08",115,13,28,58,26,70,16,24,15,15,46,47,256,
"Segment 09",68,14,15,28,24,59,18,9,15,18,43,58,226,
"Segment 10",57,7,15,24,21,33,5,10,10,8,22,22,131,
"Segment 11",116,30,42,51,43,83,19,16,19,20,53,51,288,
"Segment 12",31,4,16,16,4,25,5,3,3,11,14,16,82,
"Segment 13",46,7,19,17,17,38,9,10,17,12,23,19,111,
"Segment 14",45,11,13,15,8,33,7,6,6,11,17,14,121,
"Segment 15",7,0,0,0,4,12,0,4,0,3,6,4,29,
"Segment 16",14,7,7,7,6,16,5,4,5,4,11,19,68,
"Segment 17",23,10,10,5,9,15,3,0,0,3,12,31,79,
"Segment 18",25,6,14,15,11,18,6,9,9,10,10,17,73,
"Segment 19",36,3,12,17,20,26,12,13,3,3,20,16,111,
"Segment 20",152,27,46,95,43,118,18,33,55,40,69,87,388,
"Segment 21",50,10,19,30,10,32,11,16,7,11,27,22,134,
"Segment 22",35,3,16,12,15,22,9,5,5,5,20,11,80,
"Segment 23",162,27,44,70,61,116,19,16,42,26,80,73,393,
"Segment 24",61,17,23,22,22,53,16,17,11,16,31,36,170,
"Segment 25",98,25,34,43,36,73,12,18,14,25,44,50,263,
"Segment 26",58,3,11,34,21,29,11,6,17,11,29,32,148,
"Segment 27",107,17,31,58,34,64,22,18,28,19,58,47,273,
"Segment 28",35,3,14,17,27,31,9,4,8,11,19,19,112,
"Segment 29",74,7,19,26,25,33,13,9,16,14,30,28,148,
"Segment 30",81,20,15,28,17,46,9,17,20,19,19,30,158,
"Segment 31",122,17,31,57,35,81,23,19,30,15,56,49,287,
"Segment 32",64,15,11,22,28,52,8,13,15,5,26,33,161,
"Segment 33",25,3,10,6,14,17,4,6,3,3,5,10,69,
"Segment 34",43,5,14,9,10,43,8,11,7,9,15,25,117,
"Segment 35",112,19,26,35,25,63,16,21,18,28,22,47,267,
"Segment 36",137,24,44,41,36,97,20,25,24,33,49,71,347,
"Segment 37",177,27,51,82,40,103,25,33,46,32,66,72,391,
"Segment 38",311,69,89,116,95,227,47,63,54,67,113,123,733,
"Segment 39",11,0,8,6,5,10,0,4,0,0,8,11,39,
"Segment 40",18,5,8,5,6,20,6,4,0,5,18,22,73,
"Segment 41",17,0,3,8,4,5,3,3,5,3,3,15,45,
"Segment 42",6,0,3,3,0,4,0,0,0,0,0,9,20,
"Segment 43",38,10,6,12,13,28,8,10,6,5,19,14,94,
"Segment 44",73,12,27,36,16,47,21,8,17,8,61,42,208,
"Segment 45",25,0,7,7,5,19,0,8,0,4,10,15,64,
"Segment 46",44,3,16,12,12,25,5,10,4,7,12,30,106,
"Segment 47",5,4,0,0,0,3,0,0,0,0,4,3,12,
"Segment 48",10,0,0,5,5,8,0,0,3,0,6,13,31,
"Segment 50",0,0,0,0,3,0,0,0,0,0,0,0,3,
"Total",3227,586,941,1388,998,2244,504,593,665,642,1401,1616,8167,


" 90-99 years,  $300-$399 ($15,600-$20,799)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",179,26,51,56,50,139,30,28,30,36,70,93,443,
"Segment 02",276,62,87,161,88,217,43,58,48,72,127,126,749,
"Segment 03",186,34,62,68,49,140,27,39,53,22,87,83,475,
"Segment 04",133,18,50,47,34,85,20,24,15,14,57,55,311,
"Segment 05",219,45,54,77,70,156,49,45,28,43,89,82,484,
"Segment 06",41,4,10,28,26,34,9,7,7,15,14,24,119,
"Segment 07",39,7,9,21,23,30,15,7,4,9,25,17,121,
"Segment 08",216,39,75,122,81,174,27,38,56,53,135,116,595,
"Segment 09",168,29,65,81,100,126,30,26,22,42,98,103,510,
"Segment 10",156,35,37,54,51,113,28,39,29,26,80,83,406,
"Segment 11",302,65,87,133,134,229,52,71,71,67,132,161,794,
"Segment 12",130,43,28,60,65,117,34,33,22,35,53,52,324,
"Segment 13",117,35,36,57,43,90,17,32,26,21,44,45,286,
"Segment 14",114,28,41,42,50,82,15,32,14,29,47,62,301,
"Segment 15",27,8,10,13,10,19,3,7,5,5,21,12,86,
"Segment 16",37,9,16,27,12,38,14,6,5,8,21,24,131,
"Segment 17",95,15,36,39,43,57,18,18,17,22,43,42,245,
"Segment 18",75,7,26,27,32,39,10,18,10,14,38,32,181,
"Segment 19",160,33,44,73,48,115,30,43,33,34,68,65,391,
"Segment 20",408,80,140,164,140,295,70,75,69,68,155,193,1007,
"Segment 21",151,31,43,61,41,106,28,35,32,26,58,69,349,
"Segment 22",75,16,27,41,41,69,13,15,17,15,58,42,243,
"Segment 23",383,70,94,197,155,287,63,72,132,75,194,157,936,
"Segment 24",204,29,61,115,58,155,32,44,43,45,96,122,530,
"Segment 25",333,58,83,144,113,224,62,74,64,56,148,156,804,
"Segment 26",156,33,50,58,69,103,29,34,37,25,84,79,414,
"Segment 27",260,52,59,109,109,172,42,37,50,59,131,118,639,
"Segment 28",159,38,36,79,79,91,25,32,47,24,80,73,406,
"Segment 29",229,44,73,88,84,164,26,67,52,50,115,89,532,
"Segment 30",262,41,65,83,81,187,52,50,55,58,99,79,526,
"Segment 31",371,70,84,200,128,280,64,81,118,69,212,117,862,
"Segment 32",241,52,55,84,102,149,35,50,35,42,98,102,560,
"Segment 33",109,28,28,44,31,74,21,28,16,26,40,61,269,
"Segment 34",165,27,58,51,55,128,33,38,14,29,42,87,395,
"Segment 35",349,56,111,127,120,229,54,87,61,68,118,129,782,
"Segment 36",438,95,145,161,128,351,84,94,69,84,155,209,1058,
"Segment 37",506,85,164,199,150,368,102,101,104,104,187,210,1221,
"Segment 38",970,184,275,427,286,663,160,216,230,202,471,399,2328,
"Segment 39",46,5,20,13,9,35,13,0,8,12,17,18,102,
"Segment 40",82,15,26,30,32,74,17,20,13,18,36,42,216,
"Segment 41",59,15,11,37,15,44,16,14,16,9,34,21,135,
"Segment 42",22,9,4,8,6,24,3,10,5,3,9,14,69,
"Segment 43",111,13,32,46,33,56,15,22,24,20,41,36,242,
"Segment 44",195,42,75,116,65,169,37,45,72,33,105,91,531,
"Segment 45",43,14,12,20,17,54,0,9,7,16,19,33,142,
"Segment 46",137,24,31,38,42,96,24,30,17,21,47,58,316,
"Segment 47",0,0,0,3,0,5,0,0,0,3,0,0,12,
"Segment 48",16,5,0,9,9,9,7,0,4,3,8,13,40,
"Segment 50",6,0,0,4,6,7,0,0,0,0,4,0,12,
"Total",9166,1770,2692,3938,3219,6675,1574,1963,1915,1800,4129,4101,22644,


" 90-99 years,  $400-$499 ($20,800-$25,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",446,63,122,271,121,320,61,90,159,105,266,171,1125,
"Segment 02",778,126,227,398,167,508,106,151,190,141,423,301,1808,
"Segment 03",368,74,105,160,83,247,44,70,68,66,166,163,882,
"Segment 04",298,59,89,110,89,182,46,61,68,43,115,78,601,
"Segment 05",385,69,107,133,107,255,83,88,47,78,155,165,836,
"Segment 06",148,36,33,77,41,86,25,35,32,28,77,37,300,
"Segment 07",133,30,38,89,46,84,23,25,65,31,93,27,299,
"Segment 08",555,103,121,292,139,359,88,91,156,111,273,186,1275,
"Segment 09",430,84,121,296,164,318,59,75,167,90,303,188,1156,
"Segment 10",348,81,102,170,118,231,55,68,87,47,187,113,775,
"Segment 11",685,113,151,248,200,414,95,105,166,118,312,269,1494,
"Segment 12",317,44,98,140,68,205,54,68,71,64,122,100,674,
"Segment 13",366,78,95,190,110,265,60,70,133,48,164,90,713,
"Segment 14",506,96,137,277,147,340,88,85,182,100,287,110,1067,
"Segment 15",70,17,19,30,27,41,15,18,16,20,42,37,185,
"Segment 16",123,24,33,96,36,69,26,16,36,23,76,47,304,
"Segment 17",250,31,49,101,80,156,41,42,54,39,120,102,548,
"Segment 18",163,24,35,67,45,99,26,25,44,27,74,70,361,
"Segment 19",469,88,110,224,166,303,77,82,126,96,217,131,996,
"Segment 20",1056,190,243,435,283,691,160,177,273,166,485,366,2216,
"Segment 21",328,63,94,155,90,212,49,59,84,63,175,113,731,
"Segment 22",201,29,37,108,78,131,32,26,73,37,120,79,448,
"Segment 23",1104,162,242,723,396,728,191,171,507,219,760,271,2364,
"Segment 24",656,116,191,323,189,440,120,133,215,145,339,189,1389,
"Segment 25",874,152,197,315,285,557,136,146,206,157,457,266,1866,
"Segment 26",366,59,61,182,150,216,55,56,102,54,195,105,823,
"Segment 27",675,126,118,348,227,392,94,109,185,113,408,188,1405,
"Segment 28",287,69,43,128,137,177,70,56,60,47,170,127,711,
"Segment 29",658,109,130,337,207,420,111,131,216,109,358,193,1329,
"Segment 30",808,143,212,430,249,508,137,165,318,142,489,210,1687,
"Segment 31",1092,186,293,613,296,699,171,201,404,192,716,301,2294,
"Segment 32",507,130,127,224,187,306,93,103,120,89,257,181,1115,
"Segment 33",272,52,64,89,78,169,42,47,46,53,100,98,557,
"Segment 34",414,72,127,139,110,272,77,86,95,57,213,160,922,
"Segment 35",896,170,241,348,238,595,143,194,236,160,413,251,1833,
"Segment 36",1320,219,320,541,356,838,191,238,315,220,590,445,2755,
"Segment 37",1776,312,417,764,451,1102,302,364,636,323,934,523,3693,
"Segment 38",2692,497,706,1295,652,1855,440,547,940,474,1466,781,5687,
"Segment 39",107,20,25,26,30,61,24,24,31,15,49,34,221,
"Segment 40",222,33,56,75,60,170,44,53,48,43,77,81,473,
"Segment 41",140,22,36,75,18,85,22,17,30,19,56,45,279,
"Segment 42",62,13,7,42,23,41,9,11,17,7,43,30,151,
"Segment 43",252,48,59,102,62,167,53,47,61,48,118,83,525,
"Segment 44",590,117,137,250,128,384,110,118,171,100,265,191,1209,
"Segment 45",132,21,31,43,36,84,32,23,31,15,48,52,278,
"Segment 46",335,74,80,174,112,192,57,66,92,51,155,115,749,
"Segment 47",15,7,3,0,3,8,4,0,0,4,9,6,35,
"Segment 48",51,0,7,31,18,29,13,10,7,7,31,20,119,
"Segment 50",17,0,0,4,7,13,3,6,7,5,9,4,36,
"Total",24756,4456,6115,11709,7115,16023,4045,4634,7406,4408,12964,7894,53291,


" 90-99 years,  $500-$649 ($26,000-$33,799)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",264,38,76,95,72,165,39,46,45,47,120,104,582,
"Segment 02",384,67,128,147,101,290,62,83,87,61,179,186,940,
"Segment 03",273,52,63,69,53,185,37,49,44,44,92,123,619,
"Segment 04",132,21,30,43,43,98,27,33,17,23,50,57,295,
"Segment 05",184,44,46,66,58,112,32,47,26,38,69,86,421,
"Segment 06",51,12,13,21,23,23,12,18,4,12,22,13,97,
"Segment 07",37,7,18,19,16,28,13,7,7,8,24,11,84,
"Segment 08",258,56,89,131,65,183,40,42,66,54,135,108,629,
"Segment 09",167,25,45,59,55,128,26,35,24,25,84,77,415,
"Segment 10",138,25,34,43,45,94,18,24,29,29,63,53,316,
"Segment 11",343,63,87,102,93,190,50,68,59,47,119,98,683,
"Segment 12",139,23,37,47,35,86,17,26,31,19,61,40,276,
"Segment 13",124,16,25,42,35,87,19,26,19,31,52,49,289,
"Segment 14",203,34,58,54,61,141,47,33,36,22,71,61,398,
"Segment 15",37,6,4,18,14,24,3,7,5,11,28,14,83,
"Segment 16",58,12,14,22,12,41,9,7,6,8,29,21,147,
"Segment 17",119,19,22,83,60,89,31,19,49,14,122,33,324,
"Segment 18",86,23,19,33,29,65,11,15,26,18,30,29,185,
"Segment 19",204,36,62,68,61,139,39,40,54,54,77,71,429,
"Segment 20",506,97,147,166,122,326,77,109,98,94,187,157,1053,
"Segment 21",172,38,58,45,41,133,20,35,36,29,99,70,422,
"Segment 22",70,8,18,17,27,64,16,10,9,13,34,43,189,
"Segment 23",334,38,73,147,114,234,55,63,97,57,169,99,686,
"Segment 24",295,67,75,103,72,167,38,70,66,45,130,79,591,
"Segment 25",421,64,112,140,120,301,57,63,78,59,210,130,906,
"Segment 26",122,14,22,34,56,80,24,21,19,26,63,44,276,
"Segment 27",213,45,42,64,82,133,34,38,32,39,78,70,437,
"Segment 28",104,13,18,27,50,61,18,18,12,14,58,46,247,
"Segment 29",256,39,46,79,67,149,53,52,50,34,83,92,509,
"Segment 30",293,63,73,103,77,180,49,58,64,47,127,103,617,
"Segment 31",472,93,114,157,115,308,78,92,113,85,194,152,991,
"Segment 32",161,25,28,57,44,106,39,43,29,27,84,41,340,
"Segment 33",145,21,44,49,19,92,23,29,23,17,44,37,284,
"Segment 34",162,31,43,41,43,108,28,38,14,40,66,63,348,
"Segment 35",439,60,116,148,93,292,60,79,94,73,176,139,891,
"Segment 36",543,93,134,154,131,342,83,99,89,92,174,179,1089,
"Segment 37",731,150,181,229,172,459,105,127,136,120,240,226,1457,
"Segment 38",1465,247,389,402,311,918,219,304,281,218,572,475,2974,
"Segment 39",40,10,10,19,16,31,6,9,8,5,19,18,88,
"Segment 40",99,18,40,16,34,68,17,20,10,15,34,42,222,
"Segment 41",40,4,6,19,11,25,10,4,8,0,17,33,106,
"Segment 42",34,4,10,5,9,22,4,5,4,0,19,6,66,
"Segment 43",112,12,30,27,23,70,24,19,15,10,28,46,240,
"Segment 44",197,45,44,67,40,121,25,39,25,39,66,79,406,
"Segment 45",66,9,15,13,25,36,10,7,5,12,15,29,144,
"Segment 46",135,29,34,44,46,96,21,20,24,26,44,56,307,
"Segment 47",4,0,5,3,5,6,0,0,0,0,0,4,13,
"Segment 48",13,3,0,4,3,6,0,0,0,3,5,9,32,
"Segment 50",3,0,0,0,3,4,0,5,3,0,0,0,15,
"Total",10848,1939,2812,3530,2879,7128,1733,2116,2077,1838,4459,3791,23156,


" 90-99 years,  $650-$799 ($33,800-$41,599)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",151,28,45,56,32,111,13,37,30,32,76,82,383,
"Segment 02",212,56,80,95,66,176,36,49,65,40,142,99,564,
"Segment 03",159,27,42,35,27,101,16,25,22,20,68,70,343,
"Segment 04",69,19,11,23,21,42,8,10,14,6,26,34,157,
"Segment 05",90,9,31,33,25,59,12,25,14,12,34,42,221,
"Segment 06",18,0,4,5,5,19,7,3,0,4,9,5,39,
"Segment 07",14,0,9,7,5,15,0,0,5,7,4,3,33,
"Segment 08",141,28,38,65,37,114,15,36,35,21,55,64,354,
"Segment 09",83,20,26,34,31,70,16,11,21,16,43,41,213,
"Segment 10",63,21,11,21,18,32,10,14,7,9,19,27,141,
"Segment 11",166,23,56,64,47,120,19,26,34,35,74,55,385,
"Segment 12",80,13,25,41,25,65,14,22,45,13,68,23,168,
"Segment 13",50,11,19,22,17,41,8,13,16,9,10,16,113,
"Segment 14",98,17,28,35,24,63,11,17,9,9,41,34,198,
"Segment 15",12,0,0,3,4,7,4,0,0,4,6,8,32,
"Segment 16",27,0,7,14,7,27,10,9,11,6,14,23,85,
"Segment 17",46,15,7,12,13,18,3,7,18,10,22,23,104,
"Segment 18",37,3,11,7,14,28,8,7,3,7,15,26,95,
"Segment 19",76,8,25,24,23,55,14,13,16,15,31,26,165,
"Segment 20",279,48,85,106,66,198,31,59,51,41,111,91,596,
"Segment 21",73,13,24,18,22,61,12,13,13,16,25,26,167,
"Segment 22",27,5,12,8,9,17,5,7,3,3,10,16,70,
"Segment 23",127,22,36,55,42,80,15,22,31,20,60,53,291,
"Segment 24",115,24,37,39,29,100,28,34,10,25,51,46,262,
"Segment 25",171,37,54,73,57,131,33,36,33,36,67,67,397,
"Segment 26",43,0,11,16,13,17,13,7,7,8,13,20,85,
"Segment 27",67,13,18,14,26,45,8,14,13,18,28,26,151,
"Segment 28",26,8,13,5,14,21,10,9,3,0,8,12,64,
"Segment 29",96,16,41,27,28,69,24,16,25,28,31,36,194,
"Segment 30",113,32,32,33,29,81,22,25,24,23,52,45,258,
"Segment 31",177,41,34,58,49,112,28,38,46,36,77,61,376,
"Segment 32",54,10,20,20,16,41,14,14,4,17,21,18,126,
"Segment 33",47,4,11,13,12,37,11,14,12,11,23,19,105,
"Segment 34",72,11,19,21,15,60,5,22,11,15,17,35,164,
"Segment 35",174,32,45,52,51,101,26,39,26,27,63,95,422,
"Segment 36",218,48,53,71,58,162,41,60,34,36,76,85,501,
"Segment 37",258,40,72,87,78,183,54,45,38,44,90,97,592,
"Segment 38",606,108,178,208,171,438,101,138,137,106,251,226,1371,
"Segment 39",20,7,4,0,8,15,3,0,0,3,4,11,50,
"Segment 40",43,3,11,11,6,26,4,0,7,6,14,20,95,
"Segment 41",20,8,0,14,0,27,0,3,4,4,7,14,49,
"Segment 42",11,3,4,0,5,8,0,4,0,0,6,4,22,
"Segment 43",49,15,9,14,18,24,8,9,8,5,10,16,99,
"Segment 44",117,24,33,37,35,89,14,19,45,22,72,40,245,
"Segment 45",24,4,8,4,4,22,8,4,0,0,5,20,60,
"Segment 46",70,9,14,12,17,47,13,16,10,14,17,34,158,
"Segment 47",3,0,0,0,3,5,0,0,0,3,0,5,13,
"Segment 48",9,0,0,0,0,3,0,0,0,0,4,0,14,
"Segment 50",4,0,0,0,0,0,0,0,0,0,0,0,7,
"Total",4689,890,1343,1623,1313,3358,749,994,953,849,1972,1923,10805,


" 90-99 years,  $800-$999 ($41,600-$51,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",132,27,51,51,40,131,23,24,24,29,44,63,351,
"Segment 02",163,37,60,70,39,155,24,40,36,36,70,89,427,
"Segment 03",124,15,41,26,32,76,15,28,23,25,50,66,301,
"Segment 04",33,9,20,13,15,37,7,7,4,8,12,18,100,
"Segment 05",77,13,20,44,27,51,12,15,20,14,45,35,201,
"Segment 06",21,0,3,3,8,20,5,7,3,3,9,5,33,
"Segment 07",11,3,6,0,0,4,0,3,0,0,3,5,22,
"Segment 08",130,24,44,73,28,99,13,30,19,20,61,67,335,
"Segment 09",68,12,14,24,11,55,9,11,9,6,20,32,155,
"Segment 10",53,7,13,14,20,40,10,12,5,9,23,22,124,
"Segment 11",128,23,24,44,34,81,23,19,38,14,51,40,274,
"Segment 12",32,9,8,7,5,19,4,4,5,4,18,7,63,
"Segment 13",39,0,9,6,6,22,8,7,4,9,10,16,71,
"Segment 14",48,3,15,14,16,30,12,9,8,11,18,12,93,
"Segment 15",6,4,0,0,0,7,0,3,0,0,0,5,21,
"Segment 16",19,6,6,15,7,17,4,6,0,5,18,9,58,
"Segment 17",26,0,0,6,7,21,4,4,4,3,10,16,56,
"Segment 18",23,6,9,3,10,14,3,5,0,9,9,12,71,
"Segment 19",48,5,18,17,16,30,6,8,5,6,19,17,112,
"Segment 20",187,32,49,63,40,143,35,38,46,32,99,60,401,
"Segment 21",55,11,14,12,9,35,12,9,11,3,24,15,123,
"Segment 22",25,0,10,4,3,9,0,0,5,0,6,17,46,
"Segment 23",80,12,19,27,30,55,15,15,20,21,36,34,184,
"Segment 24",94,7,21,27,15,68,8,17,17,19,40,27,174,
"Segment 25",122,16,41,56,41,90,12,24,20,19,70,42,286,
"Segment 26",26,9,9,10,11,16,11,8,13,9,16,11,66,
"Segment 27",40,6,14,16,15,21,5,11,9,4,23,16,91,
"Segment 28",20,4,4,11,10,19,6,5,3,0,6,9,51,
"Segment 29",61,11,15,33,19,45,3,7,16,15,22,20,129,
"Segment 30",69,10,18,16,24,49,12,21,7,19,38,20,139,
"Segment 31",114,23,37,41,30,77,21,27,27,17,47,59,257,
"Segment 32",31,0,7,15,16,27,8,8,10,6,17,17,76,
"Segment 33",31,0,8,7,13,22,12,4,9,4,3,19,71,
"Segment 34",60,10,19,20,15,40,11,14,14,8,23,28,134,
"Segment 35",117,20,30,46,34,78,24,23,24,24,33,53,274,
"Segment 36",117,21,32,25,31,85,22,26,14,18,33,55,263,
"Segment 37",198,39,51,81,55,123,27,41,42,41,101,68,436,
"Segment 38",382,73,122,145,107,304,75,72,80,71,190,166,913,
"Segment 39",9,0,0,3,3,8,0,5,5,0,7,6,32,
"Segment 40",34,8,13,7,14,28,7,7,3,7,7,13,75,
"Segment 41",13,6,4,0,7,10,0,4,3,0,0,3,29,
"Segment 42",10,0,3,0,0,4,6,0,0,0,4,3,13,
"Segment 43",19,6,13,11,11,19,9,4,8,11,4,18,66,
"Segment 44",59,10,13,13,14,50,11,12,10,13,28,26,132,
"Segment 45",17,4,3,3,9,19,0,0,0,0,4,4,29,
"Segment 46",36,4,16,11,11,18,4,6,4,7,15,23,97,
"Segment 47",0,0,0,0,0,3,0,0,0,0,0,0,0,
"Segment 48",0,0,0,3,0,0,0,4,0,0,3,3,16,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",3201,569,953,1136,894,2365,518,660,624,593,1388,1364,7485,


" 90-99 years,  $1,000-$1,249 ($52,000-$64,999)"
